Q8BQM8 F1LSA8
A0A1L1STX8 D4A7E9
Q8BTZ4 A0A0H2UH97
O35864 F7EUU4
Q6PDS3 O88763
Q8JZM6 Q5BK67
P30882 Q6PED1
Q6P549 V9GZ88
Q91YK8 O55162
Q793I8 Q5XIB9
Q9Z0Y2 P04055
Q8BGN2 Q5M845
Q07832 A0A140TAD2
Q99J78 Q4V8I4
F8WIJ5 Q3ZAU5
P62340 D4A898
Q8BTI8 A0A0G2K2M9
Q3UIL6 A0A0G2K6Z8
O08547 Q4KM74
P41183 B2GUV8
O35459 Q62651
D3Z3A3 Q6IE50
Q9WVK5 A0A0G2K9S2
P68033 P68035
Q9CPW4 Q4KLF8
Q3U3I9 F1LMF4
E9PYR6 Q9ERC5
A0A0R4J0T0 D3ZME7
P68500 F1M173
P35564 P35565
A2AJW5 D3ZSF0
Q9Z1W9 O88506
A2AQ99 G3V8A3
A0A0R4IZZ1 F1LRS5
Q9EPW4 D4A0E3
Q9JKQ4 A0A0G2K2M1
Q9CQV8 P35213
P43021 D3ZGK9
Q9QZS8 A0A0G2JYH7
Q80UL9 D4A1C2
O88854 O08726
P19785 A0A0G2K0D4
F6R4N2 D3ZBL5
Q9CZN7 Q5U3Z7
P05480 Q9WUD9
P20181 P18280
Q64323 D4AAY7
Q8R010 A0A0A0MXY5
Q8VCR3 D4A7K0
Q8BHG3 D3Z9E9
Q8K3I4 D3ZTL2
Q6P5F9 Q80U96
Q64010 Q63768
G3X8R0 B2RZ37
Q3U4G0 D3ZYC4
P52785 V9GZ79
Q9D976 D3ZIG2
Q9EQW6 G3V612
Q9D0F1 F7F189
Q8K249 D0V9T4
P97473 Q3SWU0
Q62432 O70436
A0A1Y7VLV0 Q498R1
Q91W10 Q5FVQ0
Q91UZ1 D4A8C5
P97813 F1LPQ4
Q91WG5 A0A140UHX4
Q8C5T4 M0R7B3
Q9WTX6 B1WBY1
O54833 B4F7A9
Q9EQS9 F7EL93
P60766 Q8CFN2
P26369 F2Z3T9
Q9WVB0 F1M9Y9
P59941 Q4FZY2
E9Q774 D3ZS99
Q6P5B0 M0R3M8
Q8BJ71 Q66HC5
P31750 P47196
Q9ERE9 G3V9M2
D3YXK6 D3ZJW0
Q3UZZ4 D3ZMI6
D6RH62 Q3ZAU5
Q3UFB7 P35739
Q9JIY0 A0A0G2KBB3
Q78IQ7 A0A0H2UHY4
P29121 D3ZKU8
Q9DAX2 Q8K593
Q14DH7 A0A0G2K047
E9PYV1 P62986
Q3ULA2 F1LMH8
P51637 P51638
P22727 D4A3W9
Q8BHT6 A0A0G2JUT7
P42866 P33535
Q58Y75 D3Z8X5
Q920Q6 Q5U367
Q3TPJ7 D4AE48
Q9D0T2 Q9JIM4
Q3U1D0 D3ZVQ9
Q9DBX7 D3ZIH3
Q62312 P38438
Q80TN5 E9PTT0
P97370 Q63377
Q9DBJ6 Q5BJY4
O70435 P18422
Q8K1S3 F1LNE2
Q8BVZ5 A0A096MIT4
Q9CQG3 Q7TSV3
G3UW60 D3ZSC1
Q3UQ84 Q68FW7
P59240 G3V9Y6
P20263 Q6MG27
P68510 P68511
B7ZCC9 A0A0G2JXP6
Q01279 G3V6K6
A0A1L1SVA9 A0A0G2JWR1
A2CGA3 F7FLN8
Q62108 P31016
Q3UNH6 A0A0G2K331
O55222 Q99J82
Q6P5B5 B1H2A6
Q8R0J7 Q5U2Z2
P51658 Q5I0N4
Q9CRA9 Q6TA25
Q91V79 D3ZIQ3
Q6PGH1 O70454
Q9JJV5 Q8VHX0
E9PZ54 Q5EB94
A0A0R4J0I7 G3V877
P29452 F1LQZ4
D3YXQ7 A0A0G2K9Y9
Q9JKC8 Q6IRG9
Q8BMJ8 D3ZQL2
Q8BG99 A0A096MJK1
P42582 P13832
E9QK83 F1LXT3
A2AH22 F1LNQ2
Q9ES74 D3ZBE5
E9Q1H7 D4A0Q3
Q04207 Q7TQN4
Q8R0L1 A0A0G2JYH7
Q99K46 Q5D006
Q9DCX8 Q5BK17
Q9D8T2 A0A096MJ11
B2RRL2 M0R5M5
P62137 P62138
Q9DC29 O70595
P35377 P35370
P14142 P19357
P25801 A0A0G2QC60
Q62186 Q07984
P10300 G3V6V7
Q9Z0F6 D3ZXM2
Q8JZL2 P97639
Q4VA93 F1LS98
Q91YI4 P29067
Q6NVF0 D3ZGS3
P56479 Q62805
Q91W63 Q6AY91
P56942 G3V6L0
Q5F289 D3ZZ79
Q9WUP0 Q9JHJ1
P35419 F1LN48
P56479 Q7TSN5
Q9JMB7 A0A140TA97
Q920H1 Q71MM7
Q6PAC3 F1M7P1
P70390 G3V7M9
Q9CR60 B0BNB0
Q6IFX3 Q6IFW2
Q3UKC1 Q66HA4
Q9DBL2 Q66H63
P08113 A0A0G2K099
P35419 F1M6V7
Q9DBB4 M0RC73
P42128 D3ZU55
O08992 Q9JI92
Q9JLV1 Q5U2U8
Q99P50 O08725
Q8CG64 Q4KLJ4
P18052 Q66HJ7
Q80VP5 F1LWN5
P18828 P26260
Q9D842 F6Q5G6
Q99LM2 Q642E3
P63001 Q6RUV5
Q80T69 D4A1U7
Q9DBF7 G3V6I3
Q9JKV9 D4A2T8
O88947 A0A0H2UHR6
Q6PAL1 D3ZDG4
Q9WU62 A0A0G2K0Q6
Q6EBV9 D4ABD5
P50228 G3V6C8
Q9D2V5 B1WC03
P22518 D4ADG3
Q6ZQJ5 A0A0H2UH92
P60824 P60825
E0CXC6 Q5XIU7
A2AQ92 F1LN48
Q03265 F1M953
Q8VC60 B1WBS6
Q9CWQ8 Q5BJZ0
Q3TZ65 D3ZJC1
Q9D1M4 B2RYN3
Q9WU20 D4A7E8
Q91WS4 F1LMG2
P43135 O09018
Q9DB43 M0RCA3
Q3ULW6 Q5XIR4
P27577 P41156
P18762 Q8VBU7
P55086 Q63645
Q9CQQ0 G3V8Z7
Q9CZX5 A4L691
O09106 Q4QQW4
Q9ERG0 F1LR10
Q62158 B5DFI5
P48754 G3V8S5
P63157 P63156
Q3UZB0 D4A548
P24788 D4A3G2
Q00560 F1LPK1
P12023 P08592
G3X932 F1LR18
Q05769 P35355
Q62440 D3ZCM7
E9QLC0 P35563
Q8K2W3 B2RYB1
Q58Y75 D4A7M3
Q9CQE6 D3ZFM1
F7AC58 A0A0G2JWS3
Q99JX7 F1MA52
Q5S003 D3ZXP4
Q99MB1 F1LN63
Q9JM51 Q9JHF3
Q7TS68 B1WC69
Q99M07 D3ZB55
P61080 D3ZDK2
O08804 F7F6T5
Q9DAY6 D4AEK7
Q8R1F9 Q5BK64
Q923E4 A0A182DWI7
Q91WC9 P0C1S9
Q8VE19 D3Z9C0
A0A0R4J0I0 D3ZJW0
E9QAF4 A0A0G2KB72
Q3UU96 G3V6C9
A2APM2 O70509
Q68FH0 O35274
Q5M9N4 D4A0Z0
P32082 Q02644
Q3UN58 D4AAA5
Q3TMU8 F1LNT0
P01108 P09416
A0A0R4J0G9 Q498R1
Q8BTW3 D3ZW38
O35310 G3V7E2
O88992 D3ZEN8
A0A0R4J0R3 Q6AXU3
Q64430 P70705
Q60841 F1LZI7
Q8BJ51 D3ZEI8
P60710 P60711
O08747 A0A0G2JTK0
Q8K288 M0R7K3
Q921E6 B5DF02
P97770 D3ZSV7
Q3UHD6 M0RBS9
O70263 B6RHI6
Q9DBP0 A0A0H2UHZ0
O08674 D4AEG0
E9QJU7 F1LS93
O35161 F1MAS4
Q8CAB8 G3V665
Q9ES03 A0A0G2KAH3
Q3TVC7 A0A0H2UHJ2
Q99P72 Q9JK11
Q5SV80 D3Z8I9
Q9JLV5 A0A0G2JSP3
Q99LI9 Q5PQL4
A0A1L1SU27 D3ZQ60
Q8BX70 D4A4K4
Q562E2 F1LYX1
Q61488 G3V7Y0
P61219 O88828
Q06186 Q06175
Q7TNS2 B2RYW8
Q61510 D4A9N5
Q3UHX2 Q62785
P80313 D4AC23
P61982 P61983
Q9DBQ9 D3ZHR0
Q9D850 D3ZF19
Q9JMI7 G3V8N9
Q9WUC3 F1LNW6
Q61826 O70540
Q76MZ3 Q5XI34
Q3V1N5 F1M590
A2ACG1 D3ZQ38
Q9D8T0 B5DFJ2
P28700 Q0VJ96
Q8C0D4 A0A0G2K1Z2
A0A0R4J0H1 B2GV31
A2A891 Q3KQW8
E9Q9A6 B8K1X9
P54841 P54842
Q05BQ1 P0C5H6
E9QJS7 A0A0G2JSI4
Q76LW6 D3ZGN3
A0A0R4IZW5 Q9R0T4
Q61069 O35410
Q9JHG1 B2GUT8
Q3U3I9 M0R740
Q3U1Z5 Q6MG88
Q8VHG2 A0A0G2JX94
Q8BKE6 F1LSK6
Q9QZ26 A5HKJ1
A2BGN7 Q5BJY8
Q9CQ39 D4AA11
A0A0R4J1E2 Q68FR9
Q8C460 M0R8C5
D3Z1Q2 D4AE95
Q99LU8 Q7TP28
Q03526 D4A7W7
Q09200 Q10468
P42227 P52631
Q9CXV9 Q5PPL2
D3Z656 Q62910
A0A0R4J1S3 G3V9A0
Q8BW56 Q53E76
Q69ZS0 A0A0G2K4K7
P63168 P63170
Q80V62 A0A0G2K5U0
Q60520 A0A0G2K3H5
Q8CBD1 G3V672
Q32NY8 A0A0G2JYQ8
Q8BJU0 O70593
P01193 Q8K422
Q8BKN5 D4A2A9
Q61502 F1LRB5
Q499D0 A0A0G2JYT8
Q9CR39 Q2MCP5
Q9CR89 Q5XIS4
Q56A06 F1M369
B1AZ99 D3Z8X5
Q9DCN7 D3ZG84
Q8CEE7 D3ZFR9
Q3TIX9 B2GV41
Q9QZS2 O88846
Q60838 D3ZB71
P97766 D3ZGN3
Q5U4C1 M0R9R0
P97477 Q3MHU2
Q9EQX0 Q9QYH7
Q5SRY7 D3ZXC6
P68254 P68255
Q6Y4S4 Q7TSB7
Q9CPX5 Q4KLN5
O89090 Q01714
A2AQ07 M0R8B6
P70377 Q9ERW3
A2AKB9 D4A8G6
Q62447 G3V738
A0A286YDD7 D3ZKR9
P61407 D3Z9I3
Q148W0 D4AA47
Q9JKV9 D3ZFI7
P36898 M0R3J4
Q8C0M0 D3ZGZ9
Q9Z1D8 A0A0G2K008
M9MMK0 D3ZHJ3
Q9CUN6 A0A0G2K612
A0A1N9NPH8 A4L9P8
Q922G2 D3ZEU8
P63139 P63140
P97377 Q6P751
O35544 F1LR26
Q3UC65 Q5U2S0
Q71KT5 Q5BK21
Q8R5L1 O35796
A0A1B0GR74 M0R8G5
Q9CZ69 Q7TNZ9
P60670 F1LQX9
Q3UGS4 B0BN72
O55237 M0R613
Q8BGT0 Q4QQU9
A0A0B4J1E2 D4A8G7
O08537 Q59IV8
Q9D7F2 D3ZUF1
Q8VEK3 Q6IMY8
Q8R464 F1M7V6
E9QK89 Q5U2M8
P28352 Q6AXS5
O54864 G3V6S6
A2AWP8 M0RBM9
E9QNN1 D4A9D6
F7C846 A0A0G2JU49
G5E872 M0RA44
Q3TUA9 Q4V8A9
P63325 P62250
Q9QZS8 M0R887
Q810D6 A0A140TAH3
Q91WR3 D3ZPJ9
Q8BZ00 D4A7H1
P35761 A0A0G2K2S5
A0A0B4J1F1 D4A7E9
Q6W5C0 G3V6C8
B2RWS6 A0A0G2QC09
P28481 F1LRM7
Q8BH80 Q9Z269
B2KFW1 D3ZCC2
Q8BW96 F1LVR4
E9QK82 P06907
O70469 D3ZHJ4
Q8R1Y2 Q5FVJ5
P61211 P61212
Q3U3M5 A1L1L5
Q8K2L8 D3ZE49
Q9Z1R2 Q6MG49
P51675 Q9JLY8
Q8R373 Q8K1G0
Q64387 Q62923
Q8CCN1 D3ZUA2
Q80UW5 D3Z837
O70551 E9PTN4
Q6PD29 Q5FWU5
P20722 Q04906
Q3TY60 F8WFH6
Q9JLI7 F1LXV9
Q91WA9 D3ZCM3
P58659 D4A895
Q80WJ1 Q66HC8
Q61187 Q6IRE4
P63277 P63278
Q8K3K7 D4AC45
P16951 Q00969
Q8BHD7 Q9Z118
Q8R317 A0A140TAI1
E9Q4M7 Q6AZ60
P97303 D3ZW33
P15920 Q3B7D3
Q8CHD8 Q66H66
Q91VD1 D3ZBX1
Q80U70 A0A0G2K2I0
A2CGA5 F7FLN8
Q64343 G3V642
P60521 P60522
O88554 G3V749
Q8BFW9 D3ZNG4
Q91WU5 G3V8P2
P63056 P63057
A2AQ92 F1M6V7
E9Q289 Q6DGF9
Q9QYI3 A0A0G2K435
Q60954 B1WC31
O35375 O35276
Q7TMB8 D4A8H8
Q76LW6 F1LV65
Q8VCR2 Q5M875
Q8VEE4 Q7TP21
Q8VIG3 A0A0G2K8M2
O08784 D4A206
Q80TG9 G3V7J3
P35375 P70597
Q8JZX4 Q6AY02
Q8VHN8 B0BNG7
Q6NS82 Q5RJQ7
P97318 Q8CJH2
Q05BA5 F1M8E5
Q9CPX9 D3ZXM2
Q8K249 E9PU35
Q9D979 D4A8L7
Q80WM7 D4AB49
A0A286YD43 G3V9A8
O88876 Q3B7V0
Q8CGN4 D4A2J9
B7ZBV9 F1M6X3
F6ZFU0 Q68FR9
A2ANX3 D4AA47
A0A087WSB9 F1LVJ1
Q9ERD8 D3ZWK2
Q9JM05 P04692
Q7TN31 F1MAK0
P35456 M0R3P2
P20029 P06761
Q62313 P19814
P16254 B2RYW7
G3X9H5 G3V9P7
Q9ER75 D4A7R4
Q8K093 G3V6Q2
Q99M51 G3V7X3
Q6NVG5 D4A9U9
Q64441 Q09128
Q8CI61 F1M3K6
Q925H1 D3Z9R9
Q3TYX8 A0A0G2JUI2
P47212 P10683
B9EKE5 A0A0H2UI37
B2RQE8 F1M2Q1
Q8CI75 D3ZIL9
E9Q3H6 D3ZX74
E9Q4P1 A0A0G2K3L8
Q62556 F1LRV5
P09535 P01346
Q3UJV1 A0JPP8
Q62388 D4ACL8
P54823 D3ZD73
Q64131 A0A0G2K9V0
D3Z2Z3 F1MAS4
F8VPX2 F1MAM1
Q6PDK0 D3ZC02
O09118 F1LPC8
Q9QZ09 F1M8G0
G3X9X7 A0A0G2JYY3
F8VPR5 F1M9G7
Q8CI52 D4A135
Q8K450 A0A0G2K9K6
H3BJD7 G3V877
Q61532 P27704
Q7TQK4 D3ZT51
Q9Z1K6 D3ZJB8
P97310 D3ZP96
Q3U436 B2RYC7
Q9QYK5 D4A6E6
P23804 A0A0G2JVC1
Q91VR7 Q6XVN8
O08686 D4A7E7
P54276 D4A0U9
Q9CPU9 D4AAE7
Q3UQ17 Q5S3S9
Q80VA0 Q9R0C5
Q5SSH7 D3ZG78
P29788 Q3KR94
E9PUB7 D3ZMW3
Q8BIV3 D4A634
Q6ZPL9 D3ZX56
P13412 P27768
Q8BVR6 A0A0G2K1G4
O35679 E9PU35
D3Z5N8 G3V9A0
O08788 D4A8U7
P97470 G3V8M5
Q60676 P53042
Q91ZD1 Q6AY34
Q8BKJ9 B2RZ55
B1AZ99 D4A7M3
Q61115 Q6UY90
Q8R0J7 D3ZU64
Q80YE4 Q9ERC5
Q99JB6 D4Q8I2
P11276 A0A096P6L8
P39428 M0R5V5
Q3V1U8 D3ZDJ3
Q04744 D3ZCK7
O08586 O54857
Q8R326 Q4KLH4
Q3ULF4 Q7TT47
Q8VEI3 A0A0G2JSP4
Q8BZ89 D3ZJ04
Q62376 B2RZ74
P63085 P63086
Q9DBY4 Q496Z2
Q3TDN2 Q5BK32
Q9D0A3 D4A1B2
P34960 R9PXT7
