A0A087WSB9 F1LVJ1
O70435 P18422
O88554 G3V749
O88876 Q3B7V0
O88947 A0A0H2UHR6
O89013 Q9JLS8
P01101 P12841
P01108 P09416
P01193 Q8K422
P02340 P10361
P05480 Q9WUD9
P05627 P17325
P07724 A0A0G2JSH5
P09535 P01346
P0C192 D3ZSC1
P11276 A0A096P6L8
P11680 B0BNN4
P12023 P08592
P12850 G3V6C6
P13412 P27768
P13634 B0BNN3
P14142 P19357
P15920 Q3B7D3
P18762 Q8VBU7
P18828 P26260
P19091 A0A0G2JSI8
P19785 A0A0G2K0D4
P20181 P18280
P20722 Q04906
P22518 D4ADG3
P23804 A0A0G2JVC1
P24788 D4A3G2
P25118 A0A0G2JSU9
P26369 F2Z3T9
P26450 F1LNG5
P28481 F1LRM7
P28700 Q0VJ96
P29121 D3ZKU8
P29788 Q3KR94
P31750 P47196
P32082 Q02644
P32443 G3V6T9
P35375 P70597
P35377 P35370
P35456 M0R3P2
P35821 P20417
P36898 M0R3J4
P39428 M0R5V5
P39429 B5DFH7
P41593 P25961
P42866 P33535
P43021 D3ZGK9
P43135 O09018
P47873 G3V890
P48754 G3V8S5
P49182 Q64268
P49769 P97887
P51908 P38483
P52955 Q1XID0
P54751 E9PSJ1
P54823 D3ZD73
P56942 G3V6L0
P58659 D4A895
P59240 G3V9Y6
P59941 Q4FZY2
P60521 P60522
P60670 F1LQX9
P60710 P60711
P61219 O88828
P61290 Q5FVM2
P61407 D3Z9I3
P62137 P62138
P62259 P62260
P63056 P63057
P63085 P63086
P63157 P63156
P63277 P63278
P68369 P68370
P68500 F1M173
P68510 P68511
P70160 P01257
P70168 F2Z3Q8
P70196 B5DF45
P70372 B5DF91
P70377 Q9ERW3
P70390 G3V7M9
P97310 D3ZP96
P97318 Q8CJH2
P97370 Q63377
P97477 Q3MHU2
P97766 D3ZGN3
P97766 F1LV65
P97770 D3ZSV7
P98200 D4A3X6
Q00560 F1LPK1
Q01279 G3V6K6
Q03717 A0A0H2UI34
Q04207 Q7TQN4
Q04744 D3ZCK7
Q05BA5 F1M8E5
Q06890 G3V836
Q07832 A0A140TAD2
Q0VBL1 F1LVC4
Q0VDY1 D3ZSJ1
Q0VFX2 Q4V7B0
Q148W0 D4AA47
Q14DH7 A0A0G2K047
Q1RNF8 D3ZMX5
Q2TV84 F1M9X0
Q32NY8 A0A0G2JYQ8
Q3TD49 Q5PQL3
Q3TDN2 Q5BK32
Q3TMU8 F1LNT0
Q3TPJ7 D4AE48
Q3TQ39 F1LS98
Q3TQQ9 Q5XI94
Q3TTL0 Q66H33
Q3TUA9 Q4V8A9
Q3TVC7 A0A0H2UHJ2
Q3TY60 F8WFH6
Q3TYX8 A0A0G2JUI2
Q3U1D0 D3ZVQ9
Q3U1Z5 Q6MG88
Q3U309 A0A0G2JXZ4
Q3U3I9 F1LMF4
Q3U3I9 M0R740
Q3U487 F1LVZ9
Q3U4G0 D3ZYC4
Q3U741 A0A096MIX2
Q3UA06 Q5XHZ9
Q3UC65 Q5U2S0
Q3UFB7 P35739
Q3UGS4 B0BN72
Q3UHD6 M0RBS9
Q3UHI4 M0RAT6
Q3UIL6 A0A0G2K6Z8
Q3UJV1 A0JPP8
Q3UJV1 D4AE81
Q3UKC1 Q66HA4
Q3ULF4 Q7TT47
Q3ULW6 Q5XIR4
Q3UN58 D4AAA5
Q3UNH6 A0A0G2K331
Q3UQ17 Q5S3S9
Q3UTJ7 Q6AZ60
Q3UV71 D4A2M3
Q3UZZ4 D3ZMI6
Q3V1U8 D3ZDJ3
Q3V2J9 D3ZBW4
Q499D0 A0A0G2JYT8
Q4VA93 F1LS98
Q505D1 F1M400
Q562E2 F1LYX1
Q5F289 D3ZZ79
Q5M9N4 B2GUT8
Q5M9N4 D4A0Z0
Q5RJI4 F1LMM4
Q5S003 D3ZXP4
Q5SSH7 D3ZG78
Q5SV80 D3Z8I9
Q5U4C1 M0R9R0
Q60631 P62994
Q60676 P53042
Q60722 A0A0G2JWU7
Q60754 M0R9F7
Q60838 D3ZB71
Q60841 F1LZI7
Q60954 B1WC31
Q61062 D4ADV8
Q61069 O35410
Q61080 M0R8R8
Q61187 Q6IRE4
Q61510 D4A9N5
Q61532 P27704
Q61826 O70540
Q61878 G3V729
Q62053 Q62928
Q62158 B5DFI5
Q62312 P38438
Q62376 B2RZ74
Q62440 D3ZCM7
Q62447 G3V738
Q640R3 D3ZEI4
Q64131 A0A0G2K9V0
Q64323 D4AAY7
Q64343 G3V642
Q64385 Q99MF4
Q64387 Q62923
Q64441 Q09128
Q68FH0 F1M2K6
Q68FH0 O35274
Q68FL6 D3Z941
Q69ZS0 A0A0G2K4K7
Q6IFX3 Q6IFW2
Q6K1E7 Q5J2D6
Q6NSU3 Q6AYF6
Q6NVF0 D3ZGS3
Q6NVG5 D4A9U9
Q6P549 V9GZ88
Q6P5B5 B1H2A6
Q6P5F9 Q80U96
Q6PAJ1 F1LXF1
Q6PDS3 O88763
Q6PGH1 O70454
Q6Y4S4 Q7TSB7
Q6ZPL9 D3ZX56
Q6ZQJ5 A0A0H2UH92
Q76LW6 D3ZGN3
Q76LW6 F1LV65
Q76MZ3 Q5XI34
Q78IQ7 A0A0H2UHY4
Q78YZ6 Q5RJZ6
Q793I8 Q5XIB9
Q7TMB8 D4A8H8
Q7TMD7 Q6W3B0
Q7TN31 F1MAK0
Q7TPG5 B1H244
Q80T69 D4A1U7
Q80TN5 E9PTT0
Q80V62 A0A0G2K5U0
Q80VA0 Q9R0C5
Q80W22 Q5M7T9
Q80WJ1 Q66HC8
Q80WJ6 F1M7G9
Q80WM7 D4AB49
Q80YE4 Q9ERC5
Q810A1 Q642B9
Q811Q9 A0A096MK76
Q811Q9 G3V7M5
Q8BG99 A0A096MJK1
Q8BGN2 Q5M845
Q8BHA9 Q66H78
Q8BHG3 D3Z9E9
Q8BIJ7 F1LR42
Q8BIV3 D4A634
Q8BJA2 D3ZM22
Q8BJD1 M0RAR2
Q8BKE6 F1LSK6
Q8BMJ8 D3ZQL2
Q8BMU0 F1LNL6
Q8BUN5 P84025
Q8BVR6 A0A0G2K1G4
Q8BW56 Q53E76
Q8BWG9 F1LNX2
Q8BX70 D4A4K4
Q8C0M0 D3ZGZ9
Q8C253 P08699
Q8C5T4 M0R7B3
Q8C708 Q5BK39
Q8C708 Q6IRH4
Q8CAB8 G3V665
Q8CB76 M0R5T3
Q8CFE2 D3ZMN2
Q8CG64 Q4KLJ4
Q8CGN4 D4A2J9
Q8CHD8 Q66H66
Q8CHY3 D3ZP27
Q8CI52 D4A135
Q8CI61 F1M3K6
Q8CI75 D3ZIL9
Q8CJ70 D3ZFI7
Q8CJ70 D4A2T8
Q8JZL2 P97639
Q8JZM6 Q5BK67
Q8JZS7 D4A5C3
Q8K1A0 B0BNB3
Q8K249 D0V9T4
Q8K249 E9PU35
Q8K288 M0R7K3
Q8K352 B5DFK2
Q8K3K7 D4AC45
Q8K450 A0A0G2K9K6
Q8K4K4 G3V6J8
Q8R007 D3ZET1
Q8R1C3 B5DEK8
Q8R1F9 Q5BK64
Q8R1G1 Q0VGK5
Q8R1N0 Q3MHS2
Q8R2G4 Q6AYJ9
Q8R317 A0A140TAI1
Q8R373 Q8K1G0
Q8R464 F1M7V6
Q8R5A3 D3ZDZ1
Q8VCR2 Q5M875
Q8VCR3 D4A7K0
Q8VE19 D3Z9C0
Q8VEE4 Q7TP21
Q8VEI3 A0A0G2JSP4
Q8VEJ3 D4ADQ6
Q8VEK3 Q6IMY8
Q8VHG2 A0A0G2JX94
Q8VHP6 Q91XU7
Q8VHQ3 D4AA72
Q8VI59 D3ZSQ1
Q8VIG1 D4A7T2
Q8VIG3 A0A0G2K8M2
Q91V79 D3ZIQ3
Q91VD1 D3ZBX1
Q91VR7 Q6XVN8
Q91W63 Q6AY91
Q91WA9 D3ZCM3
Q91WC9 P0C1S9
Q91WG5 A0A140UHX4
Q91WS4 F1LMG2
Q91Y86 F1LP66
Q91YI4 P29067
Q91YK8 O55162
Q91Z22 A0A0G2K349
Q91ZD1 Q6AY34
Q920H1 Q71MM7
Q921D9 A0A0G2JTY1
Q921E6 B5DF02
Q922G2 D3ZEU8
Q923E4 A0A182DWI7
Q925H1 D3Z9R9
Q99JB6 D4Q8I2
Q99JX7 F1MA52
Q99K46 Q5D006
Q99LI9 Q5PQL4
Q99LM2 Q642E3
Q99LU8 Q7TP28
Q99MB1 F1LN63
Q99MV1 D4A3N0
Q99P50 O08725
Q9CPV2 D3ZDN9
Q9CPW4 Q4KLF8
Q9CPX5 Q4KLN5
Q9CPX9 D3ZXM2
Q9CQ39 D4AA11
Q9CQE6 D3ZFM1
Q9CQG3 Q7TSV3
Q9CQJ4 Q4KLY4
Q9CQQ0 G3V8Z7
Q9CQV8 P35213
Q9CR60 B0BNB0
Q9CRA0 F1MA10
Q9CRA9 Q6TA25
Q9CWQ8 Q5BJZ0
Q9CXV9 Q5PPL2
Q9CZ69 Q7TNZ9
Q9CZN7 Q5U3Z7
Q9CZX5 A4L691
Q9D0A3 D4A1B2
Q9D0F1 F7F189
Q9D0T2 Q9JIM4
Q9D1C3 Q5U1Z8
Q9D1M4 B2RYN3
Q9D2V5 B1WC03
Q9D3R3 D3ZVQ1
Q9D6N5 A0JPP1
Q9D7F2 D3ZUF1
Q9D842 F6Q5G6
Q9D8T0 B5DFJ2
Q9D976 D3ZIG2
Q9D979 D4A8L7
Q9DB43 M0RCA3
Q9DBF7 G3V6I3
Q9DBJ6 Q5BJY4
Q9DBP0 A0A0H2UHZ0
Q9DBX7 D3ZIH3
Q9DBY4 Q496Z2
Q9DC29 O70595
Q9DCN7 D3ZG84
Q9DD03 P35286
Q9EQS9 F7EL93
Q9EQX0 Q9QYH7
Q9ER75 D4A7R4
Q9ERD8 D3ZWK2
Q9ERG0 F1LR10
Q9ERL7 F1M8F4
Q9ES03 A0A0G2KAH3
Q9ES74 D3ZBE5
Q9ESF1 Q9ERC5
Q9JHG1 B2GUT8
Q9JHQ5 Q562C6
Q9JI48 B5DF36
Q9JIY0 A0A0G2KBB3
Q9JJV5 Q8VHX0
Q9JKQ4 A0A0G2K2M1
Q9JKV9 D3ZFI7
Q9JKV9 D4A2T8
Q9JLI7 F1LXV9
Q9JLV1 Q5U2U8
Q9JLV5 A0A0G2JSP3
Q9JM51 Q9JHF3
Q9JMB7 A0A140TA97
Q9JMI7 G3V8N9
Q9QYK5 D4A6E6
Q9QZ09 F1M8G0
Q9QZ26 A5HKJ1
Q9QZS2 O88846
Q9QZW9 M0R6D8
Q9R059 D3ZPF0
Q9R078 P80386
Q9R0K7 P11506
Q9R0S2 A0A0G2KA10
Q9R229 A0A0H2UHH4
Q9WTM5 G3V8T5
Q9WTX6 B1WBY1
Q9WUC3 F1LNW6
Q9WUD1 D4A4T0
Q9WUP0 Q9JHJ1
Q9WUR2 Q5XIC0
Q9WUT7 Q8CH33
Q9WV55 Q9Z270
Q9WVB0 F1M9Y9
Q9WVK5 A0A0G2K9S2
Q9Z0F6 D3ZXM2
Q9Z0Y2 P04055
Q9Z1D8 A0A0G2K008
Q9Z1K6 D3ZJB8
Q9Z1W9 O88506
S4R1V8 A0A0G2JSI4
