11212 P02340,Q921E6,P12023,Q9JLV5,Q61510,P05627,P70372,P63325 P10361,B5DF02,P08592,A0A0G2JSP3,D4A9N5,P17325,B5DF91,P62250
7563 A0A1Y7VLV0,P02340,Q01279,Q3UFB7,Q80V62,Q6P5F9,Q62388,P70372 Q498R1,P10361,G3V6K6,P35739,A0A0G2K5U0,Q80U96,D4ACL8,B5DF91
10499 P02340,Q61510,Q9JLV5,Q4VBE8,Q921E6,P48754,P05627,P70372 P10361,D4A9N5,A0A0G2JSP3,F1LR39,B5DF02,G3V8S5,P17325,B5DF91
10499 P02340,Q61510,Q9JLV5,Q9CYX7,Q921E6,P48754,P05627,P70372 P10361,D4A9N5,A0A0G2JSP3,Q5M947,B5DF02,G3V8S5,P17325,B5DF91
10499 P02340,Q61510,Q9JLV5,P16254,Q921E6,P48754,P05627,P70372 P10361,D4A9N5,A0A0G2JSP3,B2RYW7,B5DF02,G3V8S5,P17325,B5DF91
10488 Q9JLV5,Q61510,P02340,E9QK89,P05627,P12023,Q921E6,P70372 A0A0G2JSP3,D4A9N5,P10361,Q5U2M8,P17325,P08592,B5DF02,B5DF91
10488 Q9JLV5,Q61510,P02340,A0A286YD43,P05627,P12023,Q921E6,P70372 A0A0G2JSP3,D4A9N5,P10361,G3V9A8,P17325,P08592,B5DF02,B5DF91
10488 Q9JLV5,Q61510,P02340,A0A286YCY4,P05627,P12023,Q921E6,P70372 A0A0G2JSP3,D4A9N5,P10361,Q5U2M8,P17325,P08592,B5DF02,B5DF91
10488 Q9JLV5,Q61510,P02340,A0A286YDR3,P05627,P12023,Q921E6,P70372 A0A0G2JSP3,D4A9N5,P10361,G3V9A8,P17325,P08592,B5DF02,B5DF91
4458 Q921E6,Q8CEE7,Q01279,P05627,P12023,P02340,Q6P5F9,Q80V62 B5DF02,D3ZFR9,G3V6K6,P17325,P08592,P10361,Q80U96,A0A0G2K5U0
4458 Q921E6,Q8BUE4,Q01279,P05627,P12023,P02340,Q6P5F9,Q80V62 B5DF02,D4AA14,G3V6K6,P17325,P08592,P10361,Q80U96,A0A0G2K5U0
11791 Q01279,P48754,P70372,P02340,Q3UFB7,Q8BJ71,Q80V62,Q6P5F9 G3V6K6,G3V8S5,B5DF91,P10361,P35739,Q66HC5,A0A0G2K5U0,Q80U96
5185 P02340,Q8JZX4,Q921E6,P12023,Q61510,Q9JLV5,P05627,P70372 P10361,Q6AY02,B5DF02,P08592,D4A9N5,A0A0G2JSP3,P17325,B5DF91
5185 P02340,Q8BTW3,Q921E6,P12023,Q61510,Q9JLV5,P05627,P70372 P10361,D3ZW38,B5DF02,P08592,D4A9N5,A0A0G2JSP3,P17325,B5DF91
10277 P02340,P12023,Q80V62,Q3UFB7,Q01279,Q6P5F9,P05627,P28352 P10361,P08592,A0A0G2K5U0,P35739,G3V6K6,Q80U96,P17325,Q6AXS5
3743 Q01279,Q9JLV1,P48754,P70372,Q61510,Q921E6,P86045,Q80V62 G3V6K6,Q5U2U8,G3V8S5,B5DF91,D4A9N5,B5DF02,M0R975,A0A0G2K5U0
9072 Q9JLV5,Q9JM05,Q80V62,Q6P5F9,P02340,P48754,Q3UFB7,P70372 A0A0G2JSP3,P04692,A0A0G2K5U0,Q80U96,P10361,G3V8S5,P35739,B5DF91
2365 Q01279,P97303,P02340,Q921E6,Q61510,P70372,P05627,Q8BWG8 G3V6K6,D3ZW33,P10361,B5DF02,D4A9N5,B5DF91,P17325,P29066
10273 P02340,P12023,Q80V62,Q3UFB7,Q01279,Q6P5F9,P05627,Q9Z315 P10361,P08592,A0A0G2K5U0,P35739,G3V6K6,Q80U96,P17325,Q5XIW8
10273 P02340,P12023,Q80V62,Q3UFB7,Q01279,Q6P5F9,P05627,Q3TIX9 P10361,P08592,A0A0G2K5U0,P35739,G3V6K6,Q80U96,P17325,B2GV41
9435 Q80V62,Q06186,P05627,P02340,A2APM2,Q6P5F9,P70372,Q01279 A0A0G2K5U0,Q06175,P17325,P10361,O70509,Q80U96,B5DF91,G3V6K6
9889 Q04886,P02340,Q921E6,Q61510,P70372,P48754,O89090,P05627 D3ZR96,P10361,B5DF02,D4A9N5,B5DF91,G3V8S5,Q01714,P17325
4509 Q01279,P68033,P02340,Q61510,P05627,Q921E6,Q6P5F9,Q60631 G3V6K6,P68035,P10361,D4A9N5,P17325,B5DF02,Q80U96,P62994
4489 P02340,P30882,Q61510,Q80V62,Q921E6,P51675,Q6P5F9,Q60631 P10361,Q6PED1,D4A9N5,A0A0G2K5U0,B5DF02,Q9JLY8,Q80U96,P62994
11404 Q920Q6,P48754,P70372,Q80V62,Q6P5F9,Q9JLV5,Q3UFB7,P02340 Q5U367,G3V8S5,B5DF91,A0A0G2K5U0,Q80U96,A0A0G2JSP3,P35739,P10361
11404 Q3UFY8,P48754,P70372,Q80V62,Q6P5F9,Q9JLV5,Q3UFB7,P02340 Q5U2R4,G3V8S5,B5DF91,A0A0G2K5U0,Q80U96,A0A0G2JSP3,P35739,P10361
8323 P02340,Q8CCN1,Q61510,Q921E6,Q01279,P70372,Q6P5F9,P19091 P10361,D3ZUA2,D4A9N5,B5DF02,G3V6K6,B5DF91,Q80U96,A0A0G2JSI8
4397 Q01279,Q921E6,Q3U436,P05627,P02340,Q61510,Q60631,Q6P5F9 G3V6K6,B5DF02,B2RYC7,P17325,P10361,D4A9N5,P62994,Q80U96
4397 Q01279,Q921E6,Q9CQ26,P05627,P02340,Q61510,Q60631,Q6P5F9 G3V6K6,B5DF02,Q62755,P17325,P10361,D4A9N5,P62994,Q80U96
4397 Q01279,Q921E6,P63139,P05627,P02340,Q61510,Q60631,Q6P5F9 G3V6K6,B5DF02,P63140,P17325,P10361,D4A9N5,P62994,Q80U96
4397 Q01279,Q921E6,D6RJM5,P05627,P02340,Q61510,Q60631,Q6P5F9 G3V6K6,B5DF02,B2RYC7,P17325,P10361,D4A9N5,P62994,Q80U96
2886 P02340,Q6NS82,Q921E6,Q01279,Q3UFB7,Q61510,P70372,Q03265 P10361,Q5RJQ7,B5DF02,G3V6K6,P35739,D4A9N5,B5DF91,F1M953
4839 Q6PDK0,Q3UFB7,P02340,Q921E6,P48754,Q80V62,P42128,P70372 D3ZC02,P35739,P10361,B5DF02,G3V8S5,A0A0G2K5U0,D3ZU55,B5DF91
8620 Q01279,P02340,Q921E6,Q61510,P05627,O35343,P12023,Q6P5F9 G3V6K6,P10361,B5DF02,D4A9N5,P17325,Q56R17,P08592,Q80U96
6637 P02340,Q921E6,Q3UHX2,P12023,Q01279,Q80V62,P05627,Q6P5F9 P10361,B5DF02,Q62785,P08592,G3V6K6,A0A0G2K5U0,P17325,Q80U96
1878 P02340,Q01279,Q9DAY6,Q61510,Q921E6,Q9JLV5,P12023,Q6P5F9 P10361,G3V6K6,D4AEK7,D4A9N5,B5DF02,A0A0G2JSP3,P08592,Q80U96
4374 Q3UFB7,Q80TN5,Q921E6,P02340,P48754,Q8BZ00,Q80V62,P70372 P35739,E9PTT0,B5DF02,P10361,G3V8S5,D4A7H1,A0A0G2K5U0,B5DF91
4374 Q921E6,Q09200,P05627,Q60631,P02340,P25801,Q6P5F9,Q61510 B5DF02,Q10468,P17325,P62994,P10361,A0A0G2QC60,Q80U96,D4A9N5
4374 Q921E6,Q3UHG7,P05627,Q60631,P02340,Q62313,Q6P5F9,Q61510 B5DF02,Q0PGW2,P17325,P62994,P10361,P19814,Q80U96,D4A9N5
10409 Q3UFB7,Q921E6,P97929,P02340,P48754,Q9JLV5,P70372,Q80V62 P35739,B5DF02,Q66MH4,P10361,G3V8S5,A0A0G2JSP3,B5DF91,A0A0G2K5U0
2294 P02340,P17553,Q61510,Q80V62,Q99JX7,Q921E6,Q6DID7,P70372 P10361,D3ZCR1,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,Q6P689,B5DF91
2294 Q01279,P17553,Q99JX7,P70372,Q61510,Q921E6,Q6DID7,Q80V62 G3V6K6,D3ZCR1,F1MA52,B5DF91,D4A9N5,B5DF02,Q6P689,A0A0G2K5U0
2294 P02340,P22727,Q61510,Q80V62,Q99JX7,Q921E6,Q6DID7,P70372 P10361,D4A3W9,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,Q6P689,B5DF91
2294 Q01279,P22727,Q99JX7,P70372,Q61510,Q921E6,Q6DID7,Q80V62 G3V6K6,D4A3W9,F1MA52,B5DF91,D4A9N5,B5DF02,Q6P689,A0A0G2K5U0
2294 P02340,P35419,Q61510,Q80V62,Q99JX7,Q921E6,Q8K2W3,P70372 P10361,F1LN48,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,B2RYB1,B5DF91
2294 P02340,P35419,Q61510,Q80V62,Q99JX7,Q921E6,Q8K2W3,P70372 P10361,F1M6V7,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,B2RYB1,B5DF91
2294 Q01279,P35419,Q99JX7,P70372,Q61510,Q921E6,Q8K2W3,Q80V62 G3V6K6,F1LN48,F1MA52,B5DF91,D4A9N5,B5DF02,B2RYB1,A0A0G2K5U0
2294 Q01279,P35419,Q99JX7,P70372,Q61510,Q921E6,Q8K2W3,Q80V62 G3V6K6,F1M6V7,F1MA52,B5DF91,D4A9N5,B5DF02,B2RYB1,A0A0G2K5U0
2294 P02340,A2AQ99,Q61510,Q80V62,Q99JX7,Q921E6,Q8K2W3,P70372 P10361,G3V8A3,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,B2RYB1,B5DF91
2294 Q01279,A2AQ99,Q99JX7,P70372,Q61510,Q921E6,Q8K2W3,Q80V62 G3V6K6,G3V8A3,F1MA52,B5DF91,D4A9N5,B5DF02,B2RYB1,A0A0G2K5U0
2294 P02340,A2AQ92,Q61510,Q80V62,Q99JX7,Q921E6,Q8K2W3,P70372 P10361,F1LN48,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,B2RYB1,B5DF91
2294 P02340,A2AQ92,Q61510,Q80V62,Q99JX7,Q921E6,Q8K2W3,P70372 P10361,F1M6V7,D4A9N5,A0A0G2K5U0,F1MA52,B5DF02,B2RYB1,B5DF91
2294 Q01279,A2AQ92,Q99JX7,P70372,Q61510,Q921E6,Q8K2W3,Q80V62 G3V6K6,F1LN48,F1MA52,B5DF91,D4A9N5,B5DF02,B2RYB1,A0A0G2K5U0
2294 Q01279,A2AQ92,Q99JX7,P70372,Q61510,Q921E6,Q8K2W3,Q80V62 G3V6K6,F1M6V7,F1MA52,B5DF91,D4A9N5,B5DF02,B2RYB1,A0A0G2K5U0
3057 P02340,Q8BWG9,Q01279,Q921E6,Q61510,Q3TDN2,Q80V62,Q6P5F9 P10361,F1LNX2,G3V6K6,B5DF02,D4A9N5,Q5BK32,A0A0G2K5U0,Q80U96
3057 Q01279,Q8C460,P02340,Q61510,Q921E6,A0A286YD43,P05627,Q6P5F9 G3V6K6,M0R8C5,P10361,D4A9N5,B5DF02,G3V9A8,P17325,Q80U96
8199 P02340,Q8K4K4,Q921E6,Q61510,P53566,P05627,P48754,P70372 P10361,G3V6J8,B5DF02,D4A9N5,A0A0H2UI22,P17325,G3V8S5,B5DF91
8199 Q921E6,Q3V1N5,P02340,P05627,Q3U3M5,Q61510,P48754,P70372 B5DF02,F1M590,P10361,P17325,A1L1L5,D4A9N5,G3V8S5,B5DF91
7934 Q91WG5,P02340,Q80V62,Q01279,P05627,Q6P5F9,Q91VR7,P70372 A0A140UHX4,P10361,A0A0G2K5U0,G3V6K6,P17325,Q80U96,Q6XVN8,B5DF91
1315 P02340,Q01279,Q921E6,P20263,Q8BZ89,Q61510,P12023,P70372 P10361,G3V6K6,B5DF02,Q6MG27,D3ZJ04,D4A9N5,P08592,B5DF91
1315 P02340,Q01279,Q921E6,Q80TN5,Q69ZZ6,Q61510,P12023,P70372 P10361,G3V6K6,B5DF02,E9PTT0,D3ZH14,D4A9N5,P08592,B5DF91
2707 Q01279,P48754,P70372,Q8BH80,Q91W10,Q921E6,Q61510,Q3UFB7 G3V6K6,G3V8S5,B5DF91,Q9Z269,Q5FVQ0,B5DF02,D4A9N5,P35739
10467 P02340,Q80V62,D3Z230,P26450,Q3UFB7,P70372,Q6P5F9,P48754 P10361,A0A0G2K5U0,D3ZBL5,F1LNG5,P35739,B5DF91,Q80U96,G3V8S5
10467 P02340,Q80V62,F6R4N2,P26450,Q3UFB7,P70372,Q6P5F9,P48754 P10361,A0A0G2K5U0,D3ZBL5,F1LNG5,P35739,B5DF91,Q80U96,G3V8S5
4501 P02340,Q8BWS5,Q01279,Q921E6,Q80V62,Q61510,Q6P5F9,P18052 P10361,D3ZF21,G3V6K6,B5DF02,A0A0G2K5U0,D4A9N5,Q80U96,Q66HJ7
4501 P02340,B1AZ99,Q01279,Q921E6,Q80V62,Q61510,Q6P5F9,O08586 P10361,D4A7M3,G3V6K6,B5DF02,A0A0G2K5U0,D4A9N5,Q80U96,O54857
4501 P02340,B1AZ99,Q01279,Q921E6,Q80V62,Q61510,Q6P5F9,O08586 P10361,D3Z8X5,G3V6K6,B5DF02,A0A0G2K5U0,D4A9N5,Q80U96,O54857
4501 P02340,Q58Y75,Q01279,Q921E6,Q80V62,Q61510,Q6P5F9,O08586 P10361,D4A7M3,G3V6K6,B5DF02,A0A0G2K5U0,D4A9N5,Q80U96,O54857
4501 P02340,Q58Y75,Q01279,Q921E6,Q80V62,Q61510,Q6P5F9,O08586 P10361,D3Z8X5,G3V6K6,B5DF02,A0A0G2K5U0,D4A9N5,Q80U96,O54857
2319 Q01279,P02340,Q61510,Q80UW5,P63001,Q921E6,P05627,Q6P5F9 G3V6K6,P10361,D4A9N5,D3Z837,Q6RUV5,B5DF02,P17325,Q80U96
4423 Q01279,P02340,A0A0R4J0T0,Q61510,A0A1L1SSF2,P70372,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,D4A9N5,G3V784,B5DF91,P08592,Q80U96
4423 Q01279,P02340,A0A0R4J0T0,Q61510,G5E8C4,P70372,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,D4A9N5,F1MAS4,B5DF91,P08592,Q80U96
4423 Q01279,P02340,A0A0R4J0T0,Q61510,O35161,P70372,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,D4A9N5,F1MAS4,B5DF91,P08592,Q80U96
4423 Q01279,P02340,A0A0R4J0T0,Q61510,Q9CR89,P70372,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,D4A9N5,Q5XIS4,B5DF91,P08592,Q80U96
4423 Q01279,P02340,F6UL52,Q61510,D3Z2Z3,P70372,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,D4A9N5,F1MAS4,B5DF91,P08592,Q80U96
2838 Q01279,P02340,A0A0R4J0T0,Q921E6,Q61510,E9QKG3,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,B5DF02,D4A9N5,A0A0G2JWR1,P08592,Q80U96
2838 Q01279,P02340,F6UL52,Q921E6,Q61510,A0A1L1SVA9,P12023,Q6P5F9 G3V6K6,P10361,D3ZME7,B5DF02,D4A9N5,A0A0G2JWR1,P08592,Q80U96
6316 Q9CYY7,Q01279,P48754,Q921E6,Q61510,Q3UFB7,P70372,Q8R5L1 M0RBS0,G3V6K6,G3V8S5,B5DF02,D4A9N5,P35739,B5DF91,O35796
9445 P05627,Q8CCN1,Q921E6,Q80V62,Q01279,P70372,Q6P5F9,P19091 P17325,D3ZUA2,B5DF02,A0A0G2K5U0,G3V6K6,B5DF91,Q80U96,A0A0G2JSI8
8736 Q921E6,Q01279,P02340,P05627,P12023,Q8VCH6,Q80V62,Q6P5F9 B5DF02,G3V6K6,P10361,P17325,P08592,Q5BQE6,A0A0G2K5U0,Q80U96
1739 P02340,Q921E6,A2BGN7,Q01279,Q3UFB7,Q8R317,Q80V62,P70372 P10361,B5DF02,Q5BJY8,G3V6K6,P35739,A0A140TAI1,A0A0G2K5U0,B5DF91
1739 P02340,Q921E6,Q9D850,Q01279,Q3UFB7,Q99P72,Q80V62,P70372 P10361,B5DF02,D3ZF19,G3V6K6,P35739,Q9JK11,A0A0G2K5U0,B5DF91
3172 Q921E6,Q01279,B7ZBV9,P05627,P02340,Q4VA93,Q61510,Q6P5F9 B5DF02,G3V6K6,F1M6X3,P17325,P10361,F1LS98,D4A9N5,Q80U96
3172 Q921E6,Q01279,Q91WI7,P05627,P02340,G3X9X7,Q61510,P63101 B5DF02,G3V6K6,A0A0G2JZW3,P17325,P10361,A0A0G2JYY3,D4A9N5,Q80U96
3172 Q921E6,Q01279,Q91WI7,P05627,P02340,G3X9X7,Q61510,Q6P5F9 B5DF02,G3V6K6,A0A0G2JZW3,P17325,P10361,A0A0G2JYY3,D4A9N5,Q80U96
3172 Q921E6,Q01279,F6UC55,P05627,P02340,Q3TQ39,Q61510,Q6P5F9 B5DF02,G3V6K6,F1M6X3,P17325,P10361,F1LS98,D4A9N5,Q80U96
1827 P02340,Q61510,A2TJV2,Q80V62,Q01279,Q3UIL6,Q921E6,P70372 P10361,D4A9N5,D4A1J3,A0A0G2K5U0,G3V6K6,A0A0G2K6Z8,B5DF02,B5DF91
2356 Q3UN58,Q80V62,Q61510,P97477,P02340,P05627,P70372,Q61080 D4AAA5,A0A0G2K5U0,D4A9N5,Q3MHU2,P10361,P17325,B5DF91,M0R8R8
3138 Q921E6,Q01279,Q6NVG5,P02340,P05627,P35821,Q61510,P63101 B5DF02,G3V6K6,D4A9U9,P10361,P17325,P20417,D4A9N5,Q80U96
3138 Q921E6,Q01279,Q6NVG5,P02340,P05627,P35821,Q61510,Q6P5F9 B5DF02,G3V6K6,D4A9U9,P10361,P17325,P20417,D4A9N5,Q80U96
6629 Q01279,Q3TUA9,Q921E6,P70372,Q61510,Q5RJI4,Q3UFB7,P35564 G3V6K6,Q4V8A9,B5DF02,B5DF91,D4A9N5,F1LMM4,P35739,P35565
4481 Q01279,A0A0R4J0T0,Q61510,P02340,P70372,E9QKG3,Q6P5F9,P12023 G3V6K6,D3ZME7,D4A9N5,P10361,B5DF91,A0A0G2JWR1,Q80U96,P08592
4481 Q01279,A0A0R4J0T0,Q61510,P02340,P70372,E9QKG3,Q6P5F9,P12023 G3V6K6,D3ZME7,D4A9N5,P10361,G3V8S5,A0A0G2JWR1,Q80U96,P08592
4481 Q01279,F6UL52,Q61510,P02340,P70372,A0A1L1SVA9,Q6P5F9,P12023 G3V6K6,D3ZME7,D4A9N5,P10361,B5DF91,A0A0G2JWR1,Q80U96,P08592
4481 Q01279,F6UL52,Q61510,P02340,P70372,A0A1L1SVA9,Q6P5F9,P12023 G3V6K6,D3ZME7,D4A9N5,P10361,G3V8S5,A0A0G2JWR1,Q80U96,P08592
1645 P02340,Q01279,P25801,Q921E6,Q61510,Q09200,Q80V62,Q60631 P10361,G3V6K6,A0A0G2QC60,B5DF02,D4A9N5,Q10468,A0A0G2K5U0,P62994
1645 P02340,Q01279,Q62313,Q921E6,Q61510,Q3UHG7,Q80V62,Q60631 P10361,G3V6K6,P19814,B5DF02,D4A9N5,Q0PGW2,A0A0G2K5U0,P62994
4359 Q6NVG5,P48754,Q01279,P70372,Q3UFB7,Q921E6,P35821,Q61510 D4A9U9,G3V8S5,G3V6K6,B5DF91,P35739,B5DF02,P20417,D4A9N5
2180 P02340,Q921E6,Q91ZD1,Q01279,Q3UFB7,O70435,Q80V62,P70372 P10361,B5DF02,Q6AY34,G3V6K6,P35739,P18422,A0A0G2K5U0,B5DF91
1335 P02340,Q61510,Q01279,Q9EQT3,Q91WU5,Q80V62,Q921E6,Q60631 P10361,D4A9N5,G3V6K6,A0A0G2JW83,G3V8P2,A0A0G2K5U0,B5DF02,P62994
602 P02340,Q6W5C0,P35456,Q921E6,P12023,Q61510,P34960,P70372 P10361,G3V6C8,M0R3P2,B5DF02,P08592,D4A9N5,R9PXT7,B5DF91
602 P02340,Q6W5C0,P35456,Q921E6,P12023,Q61510,P34960,P70372 P10361,Q10746,M0R3P2,B5DF02,P08592,D4A9N5,R9PXT7,B5DF91
602 P02340,P50228,P35456,Q921E6,P12023,Q61510,P34960,P70372 P10361,G3V6C8,M0R3P2,B5DF02,P08592,D4A9N5,R9PXT7,B5DF91
602 P02340,P50228,P35456,Q921E6,P12023,Q61510,P34960,P70372 P10361,Q10746,M0R3P2,B5DF02,P08592,D4A9N5,R9PXT7,B5DF91
