D4A7Y4 A2ATK9
F1LQX9 P60670
D3ZMX5 Q1RNF8
D3ZUF1 Q9D7F2
G3V749 O88554
Q9ERC5 E9PYR6
A0A0H2UI37 B9EKE5
Q66HA4 Q3UKC1
D3Z8I9 Q5SV80
D4A7K0 Q8VCR3
Q3B7D3 P15920
A0A0G2K7X7 D3YXF5
D4Q8I2 Q99JB6
D4A2T8 Q8CJ70
A0A0G2JYT8 Q499D0
Q7TNZ9 Q9CZ69
D4A895 P58659
Q5BK67 Q8JZM6
A0A096MJK1 Q8BG99
A0A0G2K331 Q3UNH6
Q9R0T4 A0A0R4IZW5
D3ZCM3 Q91WA9
A0A0G2K9L9 A2ANY6
F1MAM1 F8VPX2
F1MA52 Q99JX7
Q3B7V0 O88876
D4A8G6 A2AKB9
D4A135 Q8CI52
Q7TP21 Q8VEE4
O35274 Q68FH0
P35286 Q9DD03
O88846 Q9QZS2
D4AA47 A2ANX3
D3ZYC4 Q3U4G0
B1WC03 Q9D2V5
D4A8L7 Q9D979
D3ZJB8 Q9Z1K6
A0A0G2K9K6 Q8K450
G3V877 A0A0R4J0I7
D4A2T8 Q9JKV9
B5DF36 Q9JI48
A0A0G2JTY1 Q921D9
P53042 Q60676
F1M8F4 Q9ERL7
P18422 O70435
F1LXT3 E9QK83
G3V6T9 P32443
Q5M845 Q8BGN2
G3V8Z7 Q9CQQ0
D4AE48 Q3TPJ7
B1WBY1 Q9WTX6
M0R5V5 P39428
B2GUT8 Q5M9N4
D4AAA5 Q3UN58
V9GZ88 Q6P549
G3V6M6 O55144
Q4V8A9 Q3TUA9
A0A0H2UHJ2 Q3TVC7
D4A228 A2ABU4
D4ADG3 P22518
M0R5M5 B2RRL2
F1LZI7 Q60841
F1M6X3 B7ZBV9
Q59IV8 O08537
P19357 P14142
F1LMF4 Q3U3I9
P70597 P35375
D3ZD73 P54823
Q7TSV3 Q9CQG3
D3ZIH3 Q9DBX7
F1LVZ9 Q3U487
P04055 Q9Z0Y2
B0BNN4 P11680
D3ZB71 Q60838
Q4KLY4 Q9CQJ4
F1LV65 Q76LW6
D3ZET1 Q8R007
Q63377 P97370
E9PU35 Q8K249
Q9Z2H4 A2ARI4
Q5FVM2 P61290
D3ZEU8 Q922G2
D3Z9R9 A2RTU1
E9PTT0 Q80TN5
D4ADQ6 Q8VEJ3
F2Z3T9 P26369
Q1XID0 P52955
M0RBS9 Q3UHD6
Q6IE50 A0A0R4J1E4
Q5U3Z7 Q9CZN7
P17325 P05627
P60522 P60521
G3V6J8 Q8K4K4
Q7TT47 Q3ULF4
P29067 Q91YI4
F1LNW6 Q9WUC3
D3ZGN3 P97766
O70540 Q61826
M0R7K3 Q8K288
A0A0G2K0D4 P19785
D3ZDJ3 Q3V1U8
A0A0G2KBB3 Q9JIY0
A4L9P8 A0A1N9NPH8
A0A0G2JSI4 S4R1V8
F7F189 Q9D0F1
F7EUU4 O35864
P01346 P09535
D3ZFI7 Q9JKV9
D4AE81 Q3UJV1
A0A0G2JWU7 Q60722
D3ZGK9 P43021
A0A0G2K047 Q14DH7
Q66H66 Q8CHD8
A0A0G2JYQ8 Q32NY8
F1M8G0 Q9QZ09
A0A0G2JWS3 F7AC58
Q3KR94 P29788
Q80U96 Q6P5F9
D4AB49 Q80WM7
Q5XIR4 Q3ULW6
P35370 P35377
B2GUT8 Q9JHG1
G3V890 P47873
M0RBM9 A2AWP8
M0RAF9 A7L9Z8
A0A0G2K8M2 Q8VIG3
D3ZMI6 Q3UZZ4
D4A4T0 Q9WUD1
D3ZPF0 Q9R059
A0A0G2JX94 Q8VHG2
D3ZZ79 Q5F289
D3ZDZ1 Q8R5A3
O88321 O35226
Q6IRE4 Q61187
B0BN72 Q3UGS4
B0BNB3 Q8K1A0
D4AA11 Q9CQ39
Q8K422 P01193
F1LYX1 Q562E2
P18280 P20181
M0RAR2 Q8BJD1
Q5XHZ9 Q3UA06
G3V877 H3BJD7
Q5XIB9 Q793I8
D3ZP96 P97310
F1M173 P68500
D3ZQL2 Q8BMJ8
A0A0G2K008 Q9Z1D8
O70454 Q6PGH1
F8WFH6 Q3TY60
A0A0G2JSI8 P19091
Q5BK64 Q8R1F9
Q7TSU1 A2A5R2
P27768 P13412
O35276 O35375
F1LNL6 Q8BMU0
D3ZX74 E9Q3H6
A0A096P6L8 P11276
D3Z9E9 Q8BHG3
F1LR26 O35544
O88506 Q9Z1W9
D4A8H8 Q7TMB8
P97639 Q8JZL2
