F1RQB0 G1TBM7
F1RKD4 G1T7Q7
A0A286ZX26 G1TUA3
F1SP32 G1SDJ7
A0A287A2J9 G1SZR6
F1RKD4 G1TWL3
Q9TUB2 G1TVU3
A0A287BAL0 G1TFX1
I3LRY4 G1T1X4
A0A287A9F5 G1TZC7
F1SB29 G1TJ05
A0A287AHC7 G1SIJ3
F1S0D9 G1T6B3
I3L828 U3KPJ5
F1SAU5 G1T6B3
A0A287A4H3 G1SKW5
A0A287A2D4 G1TZY2
F1S1F6 G1TN55
F1RGM8 G1SSL4
F1RWA0 G1T895
F1RUS8 G1TEU8
A0A287BB27 G1SV05
A0A286ZLJ9 G1SLQ0
D9U8D1 P63169
F1SID1 G1SH00
F1RFQ7 G1TAF8
A0A287ANH9 G1TT75
F1SPP2 G1SHD1
A0A287AJF5 G1SEA4
F1SBC5 G1T9D9
P79288 G1SQT6
A0A287B401 G1SLM0
F1RJ01 G1T617
A0A286ZQL9 G1T579
A0A287BNK4 G1SKZ3
A0A286ZWZ7 G1T634
A0A287B3F4 G1U0I7
I3LCN0 G1TD98
F1S6G9 G1U6D8
P23563 P04924
F1S0L9 G1SYX4
P79307 G1SZM2
A0A287BF71 G1SSL4
I3L740 G1TZK6
A0A287ABT2 G1SSL4
I3LRY4 G1SLM0
I3LHB2 G1SFK3
A0A287AI88 G1SMJ8
F1RSE6 G1TVT0
D3K5N7 G1TAE2
F1RJU1 G1T6Q2
F1SAU5 G1SKW5
A0A287AEI6 G1SWA1
F1RFL8 G1SJT1
A0A287B836 G1TMZ6
A0A287BNE4 G1TC10
I3LDH3 G1SIH0
A0A0U2ETD0 B7NZQ0
A0A286ZQZ8 G1TAA5
F1SS94 G1T5P5
I3L6Z7 G1TDH0
I3LQB7 G1SV05
A0A287AXP9 G1STC9
A0A287AH55 G1U0F4
A0A286ZKV2 G1U255
F1RGM8 G1TH06
A0A287AV76 G1SMK8
F1S4Q6 G1TEW4
A0A287AKV5 G1TZJ5
I3LUE7 G1U3B9
A0A287A6L4 G1T6B3
F1RK84 G1TEZ1
A0A287B5K5 G1T6B3
I3LU37 G1TQX1
F1SJS3 G1SPU4
M3VK17 G1TZK6
F1RP44 G1SKW5
I3LP37 G1SWA1
F1SUB2 G1SZA8
I3LDS3 G1T1V0
A0A287BF71 G1SE50
I3LQ19 U3KMH3
F1RJX8 G1T6B3
A0A287BIH8 G1TN55
A0A287AE86 G1T109
Q95250 G1TT75
F1SFQ4 G1T1X4
P61292 G1SLM0
F1SID1 G1TPN2
F1RQZ0 G1SQG5
F1RT53 G1TES6
F1S493 G1SK88
I3LP69 G1STM8
A0A287BPQ8 G1SZ81
I3LC09 G1SGY8
F1STB2 G1SFS5
F1SRE0 G1SS22
A7WLH8 G1TLU5
A0A286ZKV2 G1TEG7
A0A287AKH6 G1SL48
Q29040 G1SML6
A0A287BDW6 G1T1R4
C0SW08 G1TEI0
F1RHK6 G1SZT9
C0SW08 G1SIH0
A0A287ACE1 G1TDK5
A0A287BA07 G1T3B9
F1RK84 G1T9K9
A0A287B3F4 G1TS42
A0A286ZV23 G1SZE4
I3LCN0 G1STC9
A0A287BS98 G1SDL0
A0A287AUP1 G1TRW0
A0A288CG47 B7NZD2
A0A286ZVJ4 G1SKW5
K7GL45 G1T1R4
F1SH27 G1TCI3
F1RP44 G1T6B3
A0A287BDL6 G1T221
F1STE3 G1SL26
A0A287AF76 G1TR97
A0A287ARW8 G1SV33
I3L897 G1SXS3
A0A287A233 G1TPA9
A0A287A1S6 G1T4A5
A0A287AXP9 G1T1X7
K7GRS5 G1TPJ7
I3LTD6 U3KPJ1
A0A287B3F4 G1SG44
A0A287BNE4 G1TQX1
F1RL04 G1SZA8
F1ST01 G1TT06
A0A287B4D6 G1TFN4
F1RX16 G1T336
F1STB2 G1T764
A0A287B3F4 G1SRP7
F1SFQ4 G1SWA1
F1SP32 G1T4N4
F1RJX8 G1SKW5
A0A287B401 G1T1X4
Q6KBX4 G1SLW7
A0A287AFY2 G1TZM2
P79432 G1T3E1
A5GFY4 G1SZ83
D2KQR0 G1TDK5
I3LM88 G1SJW3
F1SV20 G1TEY7
