F1MA52 I3LNX4
Q5FVI6 A0A287ACM5
F1M062 A0A287AU26
A0A0U1RRU5 A0A287A997
D4A8B1 F1S484
F1M3K6 A0A287AP23
P60889 F1RY55
D3ZHS3 A0A286ZWH8
Q64268 A0A286ZVK1
A0A0G2K047 A0A286ZJB9
Q5M875 I3L5K3
P14659 P61288
Q5PQX1 A0A286ZT34
P49950 A0A287BRV4
D3ZE01 F1S1F1
A0A0G2JTY6 F1RUP2
A0A0G2JSJ5 A0A286ZK26
P31977 A0A287A4F2
F1M9X0 D7R811
D3ZZC1 A0A287ARU6
B5DF45 A7XUJ6
G3V963 I3LRD5
B1WC22 A0A286ZKV2
Q5XI72 I3LRD5
D3ZRL2 I3L9K6
D4A5U3 I3LCP8
D3Z9S9 F1SUL0
D3ZL11 A0A287A041
D3ZTN0 F1SMV6
M0R5F5 A0A287A041
A0A0G2K2W8 F1RVY1
F1MAK9 A0A287BPQ1
A0A0G2K1Q1 Q8WNW2
F1M9B7 I3LLL0
Q62711 A0A287AMJ2
F1M944 B5KFA0
Q924V4 F1SDH7
A0A0G2K099 I3L5T3
F1LPP8 A0A287AQ36
Q5RJQ7 A0A286ZX89
A0A0H2UI20 A0A286ZJG5
B0K014 B5KFA0
A0A0G2JXZ4 F1RNV5
D3Z8L5 F1SNG6
P22086 F1SS22
B1WC22 A0A286ZTB1
F1MA97 F1SFC1
Q8K1G0 F1RY10
A0JPP6 F1SIG5
O35552 A0A286ZZW4
G3V7K9 A0A287AHC7
Q66HR2 A5GFS8
P24392 A0A286ZHZ1
F1MAF8 F1SD90
Q6AXY8 F1SDT3
D4A2M3 A0A287BRX1
P17955 A0A287AZ57
Q6P3V8 F1SKI5
D3ZQW1 F1RMJ3
Q4L0E9 F1RMC2
P25977 F1RQY4
Q5PQL2 A0A287AJJ6
Q4KM87 F1S5A8
D3ZDZ0 A0A287AQ36
D3ZD97 A0A287BL20
Q6AY02 M3VK32
D3ZD97 F1RUA0
A0A0G2K0W9 Q8HZV3
M0R7R2 I3LN88
D3ZD03 A0A287A997
B2RYQ5 A0A287BK93
F1MAF8 I3LBA6
P63140 A0ZVR0
F1MAF2 A0A287AHC7
Q5BJS0 A0A287BL20
F1M9X0 K7GMR6
B0BN81 A0A286ZTN4
D4ABC4 F1SD90
B2RZ84 I3LDT9
A0A0G2K8K0 A0A287B1Q0
D4A9E7 F1SJ23
D4A280 A0A287BFU1
O35274 F1RXQ4
D3ZWS0 A5GFS8
Q6MGB4 F1S009
P62260 A0A287A2R9
Q64620 A0A287AFM0
Q6IMY8 F1RFD3
M0RB75 F1RQP2
F1M8V2 F1RIG2
P08932 A0A286ZRH4
Q5RK08 F1S0W9
Q4KLL7 A0A287BA12
D3ZVQ0 F1SLU6
D3Z9S9 F1SBK5
D4A9V4 A0A286ZZW3
Q5FVC2 F1SEX5
B2RYW8 E7CXS0
Q5M7T9 A0A287B879
D3ZE01 I3LBA6
P10980 B2ZDY9
Q6AYA2 Q8HZV3
D3ZZN9 F1SAN7
F1M9Q8 I3LCP8
A0A140TAH3 A0A286ZN42
F1LRL9 F1S5A8
F1LP66 F1RMN5
D3ZD97 F2Z5E6
A0A0G2KA90 A0A286ZQE2
Q3B7L1 F1SD90
Q7TNY1 F1RL85
F1LWM1 A0A287AT90
Q62867 A0A287A3U2
D4A1U7 F1RSB8
B2GV73 A0A287BIG4
A0JPJ7 F1S062
O88764 I3LAG7
B5DFH7 F1RVZ4
Q66MH4 A0A287AD86
Q5PQX1 R4JU57
D4A5C3 F1RZW6
Q6P9X1 A0A286ZRN9
P10361 Q9TUB2
D4Q8I2 K7GQT5
Q91ZN7 A0A287AFM0
F7EYB9 F1RJ55
D3ZTM7 A0A286ZSF6
Q62755 I3LAG7
M0R887 A0A287ASL6
P09416 F1RRR8
D4A0Z0 A0A287A3K3
D3ZD73 F1SAJ5
Q5M947 F1SGN4
F1M9Q8 F1S1F1
Q64232 F1SAX3
D3ZMN5 F1SAK9
D3ZTN0 F1RSE6
Q71MM7 I3L9L7
E9PSW8 F1RVF8
F1LQS1 Q29024
Q80WD0 A0A287BPP1
A0A1W2Q693 F1SAN7
F1LWZ7 I3LTU7
Q5RK08 A0A287AW46
Q9R0T4 A0A287BPL8
F7FL53 A0A287BDM0
D4A0E8 F2Z5V5
F1M9X0 I3LEL6
F1MAL5 A0A287A9Y2
Q5U3Y0 A0A286ZWR0
Q4V7G0 F1SVB3
Q63364 M3VK32
Q9WTT7 A0A287B726
Q8K1G0 A0A287BRX1
A0A0G2KBA2 F1S7Q6
D3ZDZ0 F1SRK8
A0A0G2JUX5 A0A288CFV7
B2RZB7 F1RYA1
D3ZBL5 F1STD8
G3V7D5 F1SUL0
P49950 F1STH9
P97536 A0A287AXW5
Q5I0E7 A0A287AQ36
D4AD02 A0A287API2
Q5PQX1 A0A287AJ61
Q6DGF9 F1RUH7
Q6PCT9 F1S062
P35289 F1SDT3
A0JPN4 A0A0B5CYA5
F1M062 A0A287AXW5
P08932 A0A287AC99
Q9WTT7 A0A287ARA4
Q63768 A0A286ZTD8
D3Z822 A0A287BE06
Q66HR2 F1SKG4
A0A0G2JSP3 A0A287A2J9
Q9Z269 A5GFS8
Q498N4 F8T0U2
F1M4T6 A0A287A146
E9PT65 F1SB42
A0A0G2K5H7 D7RA36
Q5PQK4 A0A287APS7
Q66X93 I3LG73
Q91ZN7 R4JU57
Q3L472 A0A286ZRN5
A0A0G2K8Q8 A0A287AF83
Q5QD51 F1RMJ3
D3ZHJ4 F1RMC2
Q66MH4 A0A287B8J8
M0RBF8 A0A286ZRN9
P62142 F1RVC9
P36372 A0A287BM92
Q5BK39 A0A287BRX1
P10980 K7GS69
D3ZBN4 F1RIA4
F7FHT4 I3LLS1
Q5XIU7 A0A286ZRH4
Q66HA1 A0A287B4V5
D4A5U3 F1S1F1
Q5XFW6 F1SK86
F1M7B8 A0A287BNE4
Q6AY02 A0A288CFV7
A0A0G2K1X3 A0A287AV79
A0A0G2K1V9 A0A287B425
D4A2B7 F1RFD3
A0A0G2JVW0 F1RVL7
A0A0G2JSZ1 F1RP69
D3ZQB7 A0A287APS7
F1LM09 F1RKZ6
A0A0G2K1Q1 F1SI67
Q5M865 M3VK28
Q9WUD9 K7GM45
A0A0H2UH92 A0A287AFG3
D3ZX50 A0A287AEQ9
B2RZD6 F1RVY7
P70580 A0A287AFZ3
Q9QXY8 F1S8D0
Q6AXY9 A0A286ZP72
F1M8R0 I3LIT1
P08081 A0A287A682
G3V8N3 A0A286ZTB1
A0A0G2K2W8 F1SFC1
Q56AP7 F1S5P5
Q5FVL4 F1SAH6
F1M8E5 F1SP32
G3V7T9 I3LH19
Q7TNY1 A0A286ZN42
D4A2M3 F1STH9
A0A0G2K9A7 A0A287B0B0
D3ZV52 A0A287A536
Q9JI92 A0A286ZKH9
F1LNE2 F1SUB0
D4A275 A0A287AQ63
F1LTU4 A0A287BHY5
Q5UMH9 F1SNR6
D3ZDK2 A0A287ARZ0
M0R887 F1RMC2
Q5PQV1 A0A287BS85
D3ZJX5 I3LC09
D3ZD97 F1S0W9
Q66H79 A0A287AEW3
Q5FVH4 I3LV81
P58200 F2Z5S6
Q811R2 A6N8P5
Q6AY02 A0A286ZQP7
B2GV58 A0A287ARA4
A0A0G2JSZ1 A0A286ZK26
Q2EJA0 E5Q8C6
A0A096MJ11 F1SEV7
Q5M947 A0A287AR18
D3ZID7 F1RUU3
B1WC22 I3LBN0
Q5HZA2 A0A286ZUG7
Q4G012 A0A287AQ63
Q5XIM4 I3LLS1
D3ZT03 A0A287BFL0
D4A9E7 I3L9K6
O35796 F1SSL6
G3V8D5 A0A287B0I0
Q5FVI6 F1SNY1
D3ZI49 A0A287AZJ5
A0A0G2KAH3 F1SSH9
Q64620 F2Z5N6
D3ZCC7 F1RY10
Q9QVC8 A0A286ZIJ9
Q642E3 F1RWH6
F1MA79 Q8WNW2
D3ZCS4 A0A286ZT34
F1LPP8 A0A286ZJL1
D4A9V4 A0A287BH84
G3V852 F1RR89
E9PSY8 A0A287B726
D4A6X7 F1SF93
A0A0G2K2W8 I3L9K6
D4A8G6 F1ST66
Q66H33 A0A287BQ36
D4AE96 A0A287B665
Q6IFW6 F1RJU1
Q6P7R8 I3LJY8
P36372 A0A287BFS7
Q5XIN4 M3VK32
D4ABN8 A5GFS8
F1M5J1 I3L9K6
Q5U2T1 Q9BDK6
Q5EGY4 Q29036
G3V6T7 F1SB42
B1WC24 A0A287AH15
Q91ZN7 F2Z5N6
O08776 F1SI67
D3ZLC6 F1SDT3
D4ADC7 A0A287BM92
F1LPP8 F1S488
Q6PCU4 A0A0U2ETD0
Q5U313 A0A287AJ61
A0A0G2KAW5 J9JIK8
B0BMU7 F1S367
Q3MHS9 F1SJ69
G3V7D5 A0A286ZRG1
B2GV22 A0A287A041
A0A0G2K2W8 K7GMR6
O35092 A0A287BNY8
F1LPC8 A0A287A555
Q5XFW6 A0A287AHV7
D3ZGZ9 A0A287AVJ0
O54975 K9IVF7
D4ACP8 A0A286ZW78
M0R6Q6 A0A287A3K3
A0JPN1 A0A286ZYH6
Q9ESZ0 A0A286ZV44
I7GAZ6 A0A286ZPM2
A0A0G2K2C2 F1SEM2
A0A0G2K4P5 F1RPW2
D4AA94 I3LVB2
F1M8E5 M3VK32
D3Z9J4 F1SI41
D3ZIM5 I3LUA7
B2GUY0 A0A287ASD5
Q498D8 F1RHJ1
D3ZKW6 I3LAU5
B4F7C2 A0A287AFZ3
P38483 A0A287B6L2
D3Z941 A0A286ZVJ4
I7GAZ6 K7GMR6
P63156 F1S0T9
G3V877 F1S360
A0A0G2K8Q8 A0A287B2L2
A0A0G2JVC1 A0A287BEY7
P14173 F1RPW2
P49000 I3LDM6
A0A0H2UHU4 A0A287BK29
Q63364 A0A287A4H2
Q6IMY8 A0A287BL20
P07150 F1SJB5
Q66H47 F1SCF5
B2RZ94 I3LNK6
D3ZLS2 F1S3D0
D3ZE01 F1S5D3
F1M9Q8 A0A287A3U2
F1M3U4 F1SUF6
Q6P751 A0A287AXP1
D4ACX5 F1S0Q0
M0RBT9 F1RWG2
B5DFI9 A0A287AHT1
P27704 A0A287AB58
Q00715 F1RNV5
Q569D2 I3LEI5
Q5FVI6 A0A287B2L2
Q3SWU0 A0A0R4J8D6
Q62867 D7RA36
B6RHI6 A0A287BIK0
Q62867 I3LCP8
D4A400 F1RRP2
Q3L472 A0A286ZXE1
F1LMF4 A0A287B856
Q6AXZ5 F1SBK5
B5DFI9 A0A286ZW78
F1LRL9 F2Z5E6
G3V8X6 F1RVY1
D4A9N5 K7GR70
P49950 A0A286ZW96
D4A1T7 F1RG48
F1M5J1 I3LFH6
Q1M168 F1S570
Q6AXT8 A0A286ZQP7
Q66H76 F1RGP5
D4ABC4 A0A286ZQE2
A0A140TAH3 F1RL85
Q9R019 M3VH47
B0BN72 A0A287AWN1
F1MAM1 I3LN88
E9PT65 A0A287B1Q0
Q5XIN4 A0A287AN25
Q7TP77 A0A0R4J8D6
G3V7D5 F1RVY1
Q5U2Y6 F1S4P6
Q10468 F1SL46
D4A0L1 F1S461
A0A0G2K2W8 A0A286ZRG1
Q5U2Y1 F1S0S8
D3ZLS5 F1SU46
B1H269 A0A287BPQ1
D4AE10 A0A287B1A7
Q4QQW4 I3LCK3
G3V681 F1S4Y9
A0A0G2KAS0 F1SPJ4
D3ZEH8 F1RRK1
D3ZTT7 A0A287AWN6
D4AEB3 F1SAY9
F1LWM1 A0A286ZZW4
P16177 F1S112
G3V6D8 F1RMB0
G3V8M5 A0A287A4H2
A0A0H2UHV5 A0A287BDY2
Q5BK82 A0A287AC99
F1LXV3 B7U6F4
F1LS62 A0A286ZKV2
M0R9L3 F1RU02
D3ZWI4 F1RZ96
D3ZX56 F1RFL5
Q7TP28 A0A287AA29
Q569C3 A0A287A8Q7
A0A0G2JY58 A0A287AYD9
Q66H47 F1RHJ1
A0JPN1 F1SNY1
P11505 I3L7T4
Q3B7L1 F1SLB6
A0A0G2JVH5 I3LM88
A0A0G2K605 I3LRS0
G3V7D5 F1SJ23
P22909 A0A287BRX1
D3ZEU8 A0A287ARD1
Q76IC5 F1RGF7
D3ZQW1 F1SKG2
Q5XIW8 F1S073
A0A0G2K7Q0 F1SRI8
Q925F0 Q0MUU2
F1M2Q1 A0A286ZW96
D4A6A8 F1SHF6
A0A096MIY3 A0A287AQ36
F1M9X0 A0A286ZW96
F1MAL5 A0A286ZT34
D3ZQ41 F1SA99
B2GV58 A0A287AJJ6
Q496Z2 F1RYG4
D4A5U3 A0A286ZQE2
F1M4Q8 A0A287A7J2
D3ZAB6 A0A286ZQP7
G3V877 F1S4A6
A0A0G2K8U5 I3LNN4
A0A0G2K008 A0A287AIA4
B1WC24 K7GR16
A0A0G2K349 A0A287AE68
Q5FVN0 I3LS35
D0V9T4 F1SE75
F1LTU4 F1SGG3
A0A0G2JSI8 F1RTM6
Q4FZT0 A0A286ZWP6
F7FN89 A0A287BRV4
F1LXC7 A0A287AYU6
M0RB75 A0A286ZKV2
B0BN82 I3LBB2
Q6IRE4 I3LEQ7
Q07984 A0A287BHY5
Q3B7C9 I3LKT7
Q6XKD3 K7GSF2
D3ZE26 F1S4A6
F7ENQ2 F1SHV1
Q68FT9 F1SJI1
Q6AXU4 F1SVB7
A0A0G2JWG0 F1RIA3
G3V7W8 A0A287BJH7
M0R9L3 A0A287AHV7
Q66HA1 A0A287B443
I7GAZ6 F1SUL0
D4AB49 I3LBU8
B2RZ94 F1RK26
F1M9H1 F1SSE1
A4L9P7 F1SNF6
A0A0G2K1M2 A5GFS8
Q64620 F1SUT8
F1LP66 F1SQT2
F7EWN2 F1SBW5
Q6AYN8 A5GFY8
D4A5U3 I3LBA6
Q64232 I3L7E5
M0R8P6 A0A287BJH7
D4A929 A0A286ZTN4
O35276 I3LB28
Q62867 A0A286ZQE2
Q2TA68 A0A287AT18
Q5PQK4 F1SRK8
P27704 A0A286ZRM8
Q6AXZ5 K7GMR6
B1WC24 F1RJQ6
O70509 F1S475
G3V7D8 O62640
P09483 F1SNR6
P60889 A0A286ZYH6
Q6AXT8 I3L7L2
D3ZKI8 Q9BDK6
F1MA97 A0A286ZPM2
D3ZZN9 F1SAI5
M0RAC2 A0A286ZY83
A0A0G2K4I9 A0A286ZVK1
B0BNB0 F1SR02
P63156 I3LEL6
A0A0G2K8U5 F1SIS1
M0RBF8 F1STY9
G3V865 A0A286ZJV0
P68255 F1RP05
A0A0G2JUQ3 F1SIA3
P62986 A0A287AEP8
P63140 I3LAG7
Q5RJP6 I3LHU4
A0A0G2K5H7 F1SLB6
D4A2A9 A0A287B1K1
D3ZCS3 A0A286ZJZ2
B2GV58 A0A287AFM0
M0RAR2 F1RUM0
P25977 F1SKD5
B2RYN1 F1RZZ3
D3ZUX5 D0G0C6
Q66HL7 F1SC46
Q3B7L1 A0A287A3U2
Q5PPL2 A0A287AKX1
A0A0G2K5U0 A0A286ZQA1
D3Z8X4 A0A287B6S0
Q6P736 A0A287B5K1
A0A0G2K5H7 I3LCP8
D3ZS29 A0A287ACM5
M0R5M5 A0A286ZUL4
B0BNG7 A0A287ATD3
F1LQH2 F1RUL1
B0BN81 A0A287BL20
B1WBP4 F1RY91
F1LQV8 F1S4V1
Q5FWU5 A0A287AZ31
P47824 F1SML3
F7FN89 F1STH9
D3ZUX5 I3LJY8
D3ZBN4 D0G0B2
Q811R2 A0A286ZKV2
A1A5S1 A0A287BPQ1
F1MAL5 F1SUT8
A0A0G2K5H7 I3LBA6
P01244 P01248
P52631 Q19S50
D3ZR99 F1SP15
B1H269 F1SNX8
D4A0L1 A0A287BGT9
A0A0H2UHU4 A0A287B443
E9PSY8 A0A287B0Y7
D3ZD97 F1S5A8
M0RBF8 I3LGE9
D3ZAG0 A0A287B6K3
Q62785 I6L6T2
Q9WUS0 I3LRN2
F1LN91 F1ST78
Q62636 A0A287AJ28
Q5PQX1 A0A287AJJ6
P20417 I3LLF1
Q5QJV7 F1RL90
Q6AXZ5 F1SFC1
P27704 F1S5K9
A0A1W2Q693 F1S7Q6
Q63016 A0A286ZK26
Q6MGB6 F2Z5J1
P11505 A5GFU7
D4A704 F1RF23
D3ZXX3 I3LDM6
Q5XIW8 A0A286ZJV6
Q5PQK4 F1S395
Q6P9X1 F1SNG6
Q5U2Y6 E7EI20
B3DM89 A0A287A041
P56700 D7R811
A0A0G2JST3 A0A287BHY5
D3ZTT7 F1RPH0
D4A2M3 A0A286ZW96
B5DF91 D3K5N7
D4A5D6 F1SJ70
G3V670 F1S9B8
D3ZDZ0 A0A287APS7
Q62867 I3LBA6
P24392 A0A286ZIN7
Q5M7T9 A0A287BE48
Q5EB94 A0A287ARV3
P60889 F1SNY1
B2RZC6 K7GS49
D4A631 F1SK86
Q4KLL7 A0A286ZIG4
D4ABC4 F1SAM0
F1LNZ2 A0A287AZZ6
A0A0G2JZL6 F1SPK3
Q5BK67 A0A287BFS7
G3V913 Q5S1U1
P62744 F1SAQ6
A0A0G2JUI2 F1SS06
F7EUU4 F2Z540
G3V8M5 I3L7L2
A0A0G2JXI1 F1SBH1
A0A0G2KB98 I6YP72
A0A0G2K929 A0A286ZYG8
D4A0E8 C3RZ98
G3V9Q4 F1SGX2
D3ZFY0 K7GNS9
P61805 Q29081
G3V9Q4 F1SJY2
F1LRJ6 A0A287APS7
F1LNW3 A0A287BE48
P63086 D2JYW4
E9PSY8 A0A287AJ61
D4A3D4 F1RP15
D4ACG2 A0A287BBJ7
Q8R424 A0ZVR0
B5DFK2 F1RTH8
D4ACB8 F2Z5J1
P31016 I6YP72
Q5M865 F1SMT1
Q6RUV5 A0A287B4G4
P20420 F1RJS5
D3ZBT2 A0A287B052
A0A0G2JUQ3 A0A287ANP5
P19139 F2Z5I5
D3ZA45 F1SRM3
D4A5U3 F1S5D3
G3V6L8 I3LM88
Q4V7E0 A0A287A5F9
Q63769 K7GKF8
D4A2M3 I3LEL6
P62994 B6E241
A0A0G2K5H7 F1S1F1
M0R5V5 F1SME2
D3ZUD5 F1RI50
A0A0H2UHB8 A0A287A461
Q5XHZ0 A0A023PN04
Q6AY02 I3LJC2
A0A0G2K0K6 F1SGR7
P27704 Q2QLE3
D3ZFY0 F1SBF0
A0A0G2JY58 I3LBB2
F1M1W4 A0A287AHQ8
P35353 F1RRS6
D3ZPK4 F1S662
A0A0G2K331 A0A286ZYH6
Q3B7L1 I3LBA6
E9PU01 I3LC25
G3V8M9 Q8WNW2
P20417 A5GHK9
Q6AY57 I3LDM6
D4A7Y4 F1RW85
D3ZTT7 A0A287BPQ1
A0A0G2K9A7 F1RXV9
D3ZGZ9 F1RX98
D3ZUX5 F1S403
A0A0G2K5H7 F1SAM0
D3ZQ41 F1RY56
Q4G012 F1SJI1
Q4KM87 A0A287A6N8
D3ZSD8 I3LUG5
M0RC42 A5A770
Q498R3 A0A287AR90
P63140 F1SEA4
F1M9Q8 A0A286ZMB2
P14173 F1RUA7
A0A0G2JSQ6 Q864V7
D4A6J0 F1SQ17
Q66H33 A0A286ZQ22
D3ZAB6 I3L7L2
A0A0G2JYS9 F1RT51
D4A8B1 F1RQL3
F1M7B8 A0A287ATD3
Q62867 F1S1F1
F1LQC5 F1SI16
D3ZGS7 A0A287B749
Q9Z270 A0A287BBB5
Q62755 F1SG36
D3ZUD8 K9IVK6
D4AD02 I3LA17
Q9R080 A0A287B4X1
Q66X93 F1SML4
F1M3J4 F1S103
P21272 F1RT23
P62997 Q06AA7
Q63610 A0A287BDL6
P49950 F1S0T9
P25977 A0A286ZWP6
Q5PPL2 A0A287AWK9
D4A1T1 F1RXM2
B2GV58 A0A287B642
A0A0A0MY07 A0A286ZWP6
P56700 I3LEL6
F1LW16 I3LGE9
A0A0G2K2P3 I3LU80
F1MA97 K7GMR6
G3V6S1 A0A287ARB3
Q5U313 R4JU57
P47824 I3LRD1
F1LZW6 A0A287B2B4
D4AEB3 F1SGX2
