4332 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717
4332 Q8IWU2,P04637,P05067,P04629,P00533,Q15717,Q14258,P62136 P54289,P04637,P05067,P04629,P00533,Q15717,Q14258,Q00839
4332 Q8IWU2,P04637,P05067,P04629,P00533,Q15717,Q14258,P62136 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227
4332 Q8IWU2,P04637,P05067,P04629,P00533,Q15717,Q14258,P62136 Q8IWU2,P04637,P05067,P04629,P00533,Q15717,Q14258,P62136
4332 Q8NBX0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q13501 O14732,P04637,P05067,P04629,P00533,Q15717,Q14258,P40227
4332 Q8NBX0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q13501 Q8NBX0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q13501
4332 P04637,O75691,P04629,P05067,P00533,Q14258,Q15717,O75147 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1
4332 P04637,O75691,P04629,P05067,P00533,Q14258,Q15717,O75147 P04637,Q9NX95,P04629,P05067,P00533,Q14258,Q15717,Q9UKB1
4332 P04637,O75691,P04629,P05067,P00533,Q14258,Q15717,O75147 P04637,O75691,P04629,P05067,P00533,Q14258,Q15717,O75147
4288 P04637,P00533,P0DI82,Q14258,P06733,P05067,P05412,Q15717 P04637,P00533,P0DI82,Q14258,P06733,P05067,P05412,Q15717
6273 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717
6273 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717
6273 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717
6273 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717 P04629,Q14258,Q66GS9,P04637,Q9NQC7,P05067,P00533,Q15717
6273 Q14258,P04629,Q8NFN8,P04637,O75147,P00533,P05067,Q15717 Q14258,P04629,Q8NFN8,P04637,O75147,P00533,P05067,Q15717
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96P70,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q16543,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P46459,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q14444,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9UQF2,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P98082,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P62805,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P23528,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,O95433,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q96AG4,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,P51858,P00533,P05067,Q15717,P0CG48,P05412
10411 P04637,Q14258,Q7Z2T5,P00533,P05067,Q15717,P0CG48,P05412 P04637,Q14258,Q9P0L0,P00533,P05067,Q15717,P0CG48,P05412
