D3ZBY5 K9IVV5
D4A9V4 A0A286ZZW3
Q5PQL2 A0A287B642
D3ZE01 A0A287A3U2
A4L9P7 D0G0C6
Q5RK09 A0A287A5X3
P17955 I3LUD5
F1LQS1 A0A287AXP9
F1MAL5 A0A287B642
G3V7M5 K7GR08
P61212 I3LCK3
D4A6A8 A0A286ZP43
Q6AYA2 F1SHF6
Q62928 F1SFF0
F1LXV3 I3LCX3
F1LRC6 I3LC25
O35821 A0A287BBE4
Q5PPI1 A0A287ARZ1
D3ZUD8 I3LNG8
D3Z9L5 F1S3Z9
O35814 A0A287AT90
D4A929 F1S0W9
M0R7E6 F1SJG9
P12841 F1RMN5
Q66H50 G8ENM4
Q56A27 A0A287AW46
G3V727 A0A287A7H6
O88989 F1SAQ6
D4A6C5 F8T0U2
P43138 F1SAI8
G3V8M5 A0A287AN25
D3ZUU5 F1RHJ1
B0BN81 A0A287AW46
O70509 A0A287B540
Q5RKH2 A0A287AR18
G3V8Z4 A0A287ALI6
M0R8E8 F1SUW7
A0A0G2K1V9 F1SCJ1
A0A0G2JTT2 F1RL66
Q2EJA0 F1RT23
E9PTR3 F1RL85
P11505 P05027
G3V7M9 I3L828
F1LP66 F1SQT2
Q6W3B0 I3L5R5
A0A0G2JSJ5 A0A287A5I0
Q6IMY8 F1RFD3
D3ZQM0 A0A287A6N8
F1M455 A0A287BIG4
D3ZLC1 I3LC25
D3ZUC2 A0A287AA59
Q6DGF9 F1RUH7
B1WC74 F1RMB0
Q5U367 F2Z5F5
F1LRL9 A0A287A6N8
F1M8E5 A0A287AN25
D3ZE01 D7RA36
A0A140TA98 A0A286ZS00
F1LPP8 A0A287APS7
Q9R080 F1RMY9
F7FG31 A0A286ZVH7
Q9Z217 A0A287B2K5
Q56A27 F1SGC8
F1LPB0 I3L5T1
D3Z8L5 I3LGE9
Q9R019 Q864V7
Q811S9 Q2EHH8
Q6AY02 F1SBF0
A0A1W2Q693 F1S7Q6
D3ZMY7 F1SU46
A0A140TAB8 F1SA70
Q62785 F1SG88
F1MAF8 I3LBA6
F1M9Q8 A0A287A3U2
M0R711 F1SPZ4
F1LXF5 F1SNX8
Q63396 F1SG88
F1M8E5 A0A286ZQP7
G3V8D5 K7GT60
D3ZZW2 F2Z5V1
Q4QQV0 A0A286ZIJ9
D3ZUU5 F1SCF5
A0A0G2JSJ5 F1RT53
Q5FVC2 A0A286ZJ26
A0A0G2JWA2 F1SU46
F1M8E5 A0A288CFV7
Q5PQX1 A0A287BJH4
M0RDJ3 A0A287ABT2
O35547 I3L9N5
Q64620 A0A287ARA4
D3ZLS5 A0A286ZLT0
V9GZ88 F1SUW7
D3ZLQ6 F1RY55
Q5RK08 A0A287A6N8
Q6AYA2 F1SAQ6
B5DF02 A0A287B4M4
G3V6D8 F1SQG2
D3ZLQ6 Q2EN79
D4A929 A0A286ZTN4
Q6AY02 K7GNS9
Q3B7L1 A0A286ZMB2
D4A2B7 F1RFD3
D3ZQB7 A0A286ZR64
D4A929 F1ST49
F1LPP8 F1S488
F1MAL5 A0A287AFM0
P61212 K7GK90
Q6AY57 A0A287BPP8
F1M5Y6 A0A286ZSV2
P17955 F1RL85
A0A140TA98 I3LA84
Q9R019 M3VH47
F7EWN2 I3LD41
A0A1W2Q693 F1SAI5
A0A0G2JUX5 A0A288CFV7
Q66H56 K9IVK6
Q9QXQ0 A0A287B665
Q3ZAU5 A0A287B4D6
F1LPP8 I3LPV8
F1LP04 A0A287AF83
F1LS72 I3LJY8
Q5M947 F1RVY7
O35814 A0A286ZZW4
P07340 F1SNG6
F1LRL9 A0A286ZTN4
A0A0G2JSU9 A0A287A688
D4A8U7 F1SNT8
F1LRI5 F1SSL6
B0BMW2 K7GP28
Q5D006 F1SRK8
Q6P7B0 F1SHV8
Q9WTT7 A0A287AJJ6
Q63016 A0A287AT90
D3ZXX3 I3LDL4
Q07984 I3LCK3
D4ABC4 F1SLB6
Q3MHS9 F2Z5F5
A0A0G2KBC7 A0A287BT02
F1M9Q8 F1SAM0
E9PSY8 A0A287B0Y7
F1LPP8 F1SRK8
G3V8M5 I3L7L2
D3ZCQ7 F1SDH5
F7FG31 A0A287AT90
D3ZUD8 A0A287AT90
Q63364 A0A287A4H2
D3ZE01 F1SAM0
D3ZQP2 A0A287BBC6
D3ZSQ1 A0A287B4D6
A0A0G2K6L6 D4P3C2
D3ZNQ6 A0A287BNE4
Q63364 F1RUL1
Q4KM87 F1RFD3
D3ZS29 A0A287ACM5
A0A0H2UI20 A0A286ZVH7
B4F7C2 Q95250
G3V7M0 A6M928
E9PSY8 A0A287ARA4
D3ZDG0 F1RGS3
F1LRC6 F1SNX8
D3ZJX5 A0A287BHY5
D3ZBN4 I3LRD5
Q5M808 A0A287B4V5
Q3MHS9 A0A287AXP9
Q5RK08 A0A286ZTN4
D3ZVT2 A0A287B3H4
Q4KLM0 F1SJ67
Q5RK09 A0A287BT17
A0A0G2JSU9 A0A287A5I0
A0A096MIV5 F1SSL4
G3V8M5 A0A286ZQP7
P60711 Q6QAQ1
F7FG31 A0A287A688
A0A0A0MY07 P67776
Q499N6 A0A287AZ57
Q5FVI6 A0A287B2L2
D3ZD97 F1ST49
D4A5U3 F1SAM0
P21272 E5Q8C6
Q56R20 I3L9F7
F1MAK3 I3LSD5
B2RZD6 F1S1V1
M0RBF8 I3L7T4
Q4QQV0 A0A287B749
Q6AY02 I3L7L2
D3ZZN9 K7GQ93
D3Z8L5 P05027
Q5D006 A0A286ZR64
Q6P9X1 P05027
D4A321 A0A286ZI01
D3ZLC1 F1SNX8
P41156 Q864V7
Q6AY57 D7RA31
Q9WTT7 A0A287AFM0
D3ZUD8 F1RT53
A0A0G2JTY6 F1RUP2
D3ZBQ1 F1RT23
F1LPZ7 I3LEI5
F1M9Q8 D7RA36
A0A0G2K8Q8 F1SNY1
P49000 D7RA31
F1MAL5 A0A287B0Y7
Q07014 K9IVK6
D3ZTG2 I3LJY8
M0R7E6 A0A287A5X3
F1LP04 F1SNY1
A0A0G2K3H5 A0A287AXP9
D3ZD03 A0A287A997
B5DEL1 F1SP38
A0A0G2K5H7 F1S1F1
B2GV58 A0A287AFM0
D3ZLC1 A0A287BPQ1
F7ESD4 A0A287B425
B1H269 A0A287BES3
B2RZ74 A0A287AJ85
Q63016 K9IVK6
A0A0H2UI20 A0A287A5I0
F1LM09 Q2EHH8
D4A704 I3LD41
Q66H76 B5KFD7
D3ZMY7 F1SHF6
Q3B7L1 I3LBA6
F1M9G6 F1RN84
Q9WUS0 A0A286ZK26
G3V8L3 F1RLQ2
A0A0H2UHU4 F1SEX6
A0JPN4 F1SKK0
Q6MGB4 M9MMN1
D3Z840 A0A287AD78
F7FG31 K9IVK6
D3ZLQ6 A0A287ACM5
D3ZXJ0 A0A286ZY83
D3ZE91 I3LDS3
O35552 I3LNG8
D3ZP96 F1SPF3
B0BN81 F2Z5E6
D4A206 A0A287B2B4
Q6AY57 I3LDM6
F1M391 F1RGH2
P41156 M3VH47
Q9Z2Z8 F1SAI5
Q5PQL2 A0A287B726
D3ZTG2 F1SNF6
A1A5S1 A0A287BES3
Q62867 F1SD90
D3ZUJ5 F1RY55
Q99P75 F1SRI1
Q4KM87 F1S5A8
F1LS98 F1RV14
Q64232 I3L7E5
F1LQS1 A0A286ZS52
D3ZD97 F1SGC8
P12841 A0A287BNZ9
D3ZLC1 F1RPH0
B0BN82 I3LBB2
Q4KM87 F1S0W9
P27704 F1SH28
E9PTS7 F1SLB6
F1LWM1 A0A287AT90
Q5I0E7 A0A286ZR64
A0A0G2K659 A0A287A997
P08081 A0A287A682
Q5FVM2 A0A286ZJL1
D3ZXX3 D7RA31
Q5FVI6 A0A286ZYH6
P60889 Q2EN79
Q5XIN4 I3L7L2
F1LPP8 A0A286ZR64
Q5BJS0 F1S5A8
A0A0G2KBC7 A0A287B749
D3ZE26 A0A286ZUN2
B2RYN1 F1RZZ3
Q5EB96 F1RF23
A0A0G2JY43 A0A287BRD8
P08644 D7RA34
Q5PQL2 A0A287AJJ6
Q5U313 A0A287B726
Q5RJR4 F1SI41
Q63364 M3VK32
Q6UY90 I3LVF2
F1LN92 I3LLQ8
A0A0G2K3H5 F2Z5F5
Q9WTT7 A0A287A9Y2
E9PU01 A0A287BFY7
Q91ZN7 A0A286ZT34
Q5FVH4 I3LV81
Q8CFN2 Q007T2
Q8CJH2 F1SFF0
F1LRC6 F1RPH0
B1H282 F2Z5F5
G3V9Q4 F1SJY2
Q6MGB4 A0A287AHC7
Q91ZN7 R4JU57
P38983 I3LC25
D3ZBN4 D0G0B2
D3ZUJ5 A0A286ZYH6
G3V8A5 I3LBB2
D3ZCS4 A0A287ARA4
A0A0G2JTY6 A0A287BLE1
A0A0G2JWA2 F1S475
O70509 F1SAQ6
A0A0G2JSZ1 A0A286ZK26
D3Z8G7 K7GQ93
G3V8D5 A0A287BGA2
F1LW16 F1SPZ4
Q5RK08 F1RUA0
Q811S9 A0A286ZS52
A0A0G2JUX5 A0A287A4H2
D3ZQB7 A0A287AQ36
F1LM09 F1RKZ6
A0A0G2KA90 I3LCP8
D3Z837 F1RQR3
Q64350 A0A287BQ14
Q5BJS0 F1S0W9
A0A0H2UHU4 A0A287B443
Q4KM95 F1RGS3
D4A8U7 A0A287A5X3
Q5I0E7 F1S395
O70509 F1SHF6
M0RBT9 F1SAG1
Q62928 F1RSW9
Q5FVJ5 F1ST61
E9PTS7 A0A287A3U2
M0R711 A0A287AFM0
E9PSY8 A0A287B726
Q5XI72 I3LRD5
Q62867 F1S1F1
Q07984 A0A287BHY5
Q0VGK0 F1SPE5
D4A704 F1RF23
Q5RK09 A0A287AJ85
G3V963 D0G0B2
F1M9Q8 F1SD90
A0A0G2K5H7 I3LCP8
P04961 F1SKR9
A0A096MK76 K7GNX2
D3ZUD8 A0A286ZZW4
Q4KM95 F1RV56
Q2A121 B0JFC7
Q4KM95 I3LVL0
P35355 M3VK28
D4A9W0 F1SNY1
F1LWM1 A0A286ZVH7
D3ZQB7 F1S3E0
D4A8M7 Q8HZV3
P21704 A0A287BNY8
B1H282 F1SJ69
A0A0H2UHG3 I3LFR2
F1MAK9 A0A287BES3
P08644 B5KFD7
F1MAK3 A0A286ZIJ9
P05982 A0A287APS7
Q63364 F1SBF0
P17955 A0A287AZ57
F1MAL5 F2Z5N6
E9PTS7 I3LCP8
Q5RK08 F1SN45
A0A0G2JUA5 A0A287A608
D4A6A8 F1SHF6
B2RYW8 A0A287BT02
G3V963 I3LRD5
A0A0G2JSU9 A0A286ZVH7
Q63396 Q767K6
F1LWM1 K9IVK6
Q5PQX1 R4JU57
P70580 Q95250
D4ACB8 F1RKW8
A0A0G2JTR4 Q52QT8
Q811S9 A0A286ZS00
M0RBF8 A5GFU7
F1LS72 A0A287BMZ8
G3V804 I3LTQ6
Q2PQA9 A0A287BES3
A0A0G2K8Q8 A0A287B2L2
Q64232 F1SAX3
Q3B7V0 F1RF61
D3ZXC6 I3LTD6
O70509 F1SU46
D3ZZN9 F1SAN7
D3ZD97 F2Z5E6
Q496Z3 A0A287AA01
F1M8E5 A0A287A4H2
Q66H56 A0A287B4P7
Q5PQL2 A0A287A9Y2
A0A0G2K0D4 Q29040
G3V8D5 F1SJ88
D4ACB8 I3LCA2
Q63364 K7GNS9
D3ZCS4 A0A287B642
A0A0G2KBC7 E7CXS0
D3ZXL5 F1RUP2
D3ZUD8 K9IVK6
P11505 I3L7T4
M0RBF8 F1SPZ4
F1M9Q8 I3LCP8
F1M6E5 I3LMS3
Q64620 A0A287AFM0
A0A0G2KBA2 F1SAN7
Q5EB96 F1RQ12
A0A0G2K075 F1RW78
Q5RKH2 F1SGN4
A0A0G2JT93 Q8WNW4
P60889 A0A286ZYH6
F1MAK3 A0A287B749
O08623 A0A287BLE1
F1LXF5 A0A287AWN6
D4AEB3 F1S0U6
F1LM09 A0A286ZS52
F1LQH2 K7GNS9
Q91ZN7 A0A287B726
P27704 F1SJ88
Q5BJS0 F1SGC8
D4ADD3 E3US74
Q66H76 F1RGP5
A0A0G2K4B6 A0A287BKQ1
P20417 Q06AV2
D3ZLQ6 A0A287B2L2
F1MAF8 A0A286ZQE2
Q6AXT8 F1SBF0
Q5FVI6 F1SNY1
Q62862 A0A287A687
Q63016 F1RT53
Q6P7A7 A0A287B2L4
F1M0R1 F1SCJ1
A0A0A0MY07 A0A286ZWP6
P09416 F1RRR8
Q5M947 F1SE06
D4A031 A0A287ASN9
O35814 K9IVK6
F1LXF5 I3LC25
F1M3K6 A0A287AP23
F1M9D6 A0A287BNK4
F1LRV5 I3LMS3
D4A6C5 F1SIA4
P63088 Q2EHH7
B2GV58 A0A287ARA4
F7FG31 F1RT53
E9PTN4 B7UCT2
A0A0G2K5H7 F1SLB6
D4A9W0 A0A287AF83
F1LP04 A0A287ACM5
Q5PQX1 A0A287A9Y2
P61212 I3LCM4
G3V7K9 M9MMN1
A0A0G2K6Z8 A0A287ACE1
Q6AYM4 F1S8U0
Q91ZN7 A0A287ARA4
A0A0G2K3H5 F1SJ69
A0A096MIY3 F1S488
F1LVT8 A0A287BBE4
Q9JHX4 Q56VC3
D3ZE75 I3LSD5
G3V8D5 Q19ML6
A0A140TAA4 F1RRD6
D3ZD97 F1RFD3
D3ZZC1 A0A287ARZ1
E9PSY8 A0A286ZT34
Q62762 F1SDH5
M0R8E8 I3LEQ7
D3ZAB6 I3LJC2
D3ZD97 A0A287A6N8
F1MAF2 M9MMN1
P62986 A0A287AEP8
D3ZFY0 A0A286ZQP7
M0R711 I3L7T4
Q07014 A0A286ZZW4
D3ZE01 I3LBA6
D3ZE01 F1S1F1
D3ZDZ0 A0A287APS7
P61212 A0A287BHY5
Q5U367 Q2EHH8
Q6AYA2 F1S475
P07340 A0A286ZRN9
A0A0G2JSQ6 I3LTD6
F1LWM1 A0A287A688
Q924S5 F1SPZ4
Q6AY02 I3LJC2
F1M9Q8 A0A286ZMB2
Q6AXT8 A0A286ZQP7
Q63396 I6L6T2
A0A0G2JU59 F1RUP2
D4A2A9 A0A287BM02
Q5PQX1 F1SUT8
F2Z3T9 A0A287B2L4
A0A0G2K331 F1SNY1
Q63470 I3L9V1
D3ZEH8 F1RRK1
A0A0G2K5E7 F1SV16
Q5PQK4 A0A287APS7
P83888 F2Z562
F7FG31 A0A287A5I0
Q5I0C9 A0A287B1A2
B0BNG7 A0A287ATD3
D3ZUY8 F1RL66
B2RYW8 A0A287A6E8
A4L9P7 F1S403
A0A0G2JSJ5 K9IVK6
O35547 F2Z5J5
D3ZUX5 I3LJY8
D4A5U3 I3LBA6
G3V8W6 Q28987
D3ZLS5 F1SAQ6
F1LRJ6 F1S395
D3ZVM4 F1SNY1
Q63016 A0A286ZVH7
F1LZW6 A0A287B665
F1M1W4 I3LRN2
P27704 A0A286ZRM8
Q7TNY1 F1SP38
E9PTS7 A0A286ZMB2
P70580 A0A287AFZ3
A0A0G2JY58 I3LBB2
Q3MHS9 F1SJ69
P16599 F1S360
Q63396 A0A287BQ14
B5DEX9 M3VK28
D3ZQB7 F1S395
Q496Z3 I3LNF6
P07340 I3L7T4
O88989 A0A286ZP43
A0A096MIY3 A0A287AQ36
Q569D2 A0A286ZXE1
F1MAK9 I3LIB1
P16970 A0A287ANH9
M0RDJ3 F1RW78
Q80U96 A0A287BHC9
Q3MID6 F1SMN1
P61212 A0A286ZLH7
Q6AXT8 A0A287AN25
Q7TNY1 F1RL85
Q5XHY0 A0A287ARZ1
Q64620 R4JU57
B1H269 I3LIB1
G3V888 F1S0N2
Q6AY02 A0A286ZQP7
O35814 A0A286ZVH7
F1M4T6 A0A287A146
A0A1B0GWW0 F1SHV8
E9PTF3 A0A287AYD9
F1LSA1 A0A286ZLT0
Q6IMY8 A0A287BL20
F1M9Q8 F1S1F1
F1M7B8 A0A287BNE4
Q2PQA9 A0A287AWN6
Q5I0E7 F1S3E0
Q6P7B0 K9IVV5
F1MAM1 A0A287B4V5
P21704 A0A287BJ79
Q6AXT8 A0A287A4H2
E9PTI6 F1S4Y9
D3ZK34 A0A287BBE4
O35821 A0A287B1A7
F1M0R1 Q28987
Q6AXT8 F1RUL1
G3V7M5 F1S4A6
A0A140TA98 F1SJ69
A0A0H2UI20 A0A286ZZW4
Q924S5 P05027
D3Z8X7 A0A287BFS6
V9GZ88 A0A287A273
Q5M971 F1SGI2
Q6P9X1 F1SPZ4
A0A140TAH3 I3LM60
Q6MG13 F1SG88
Q6AY02 A0A287AN25
B5DF04 B0M1M6
B1H269 A0A287AWN6
Q64232 A0A287B3H4
Q07936 F1RLJ4
A0A0G2K8Q8 Q2EN79
F1LRC6 A0A287BFY7
Q5XI72 F1RIA4
E9PSY8 F1SUT8
Q62867 A0A286ZMB2
A0A0G2JSJ5 A0A287A688
F2Z3T9 A0A287BR84
F1LWM1 F1RT53
F1LSA1 F1S475
A0JPN1 F1RY55
A0A0H2UHM5 A0A287AT18
O88989 A0A286ZLT0
A0A0G2KA90 F1SD90
E9PU01 A0A287BPQ1
Q6P7B6 A0A287BK49
D3ZLQ6 A0A286ZYH6
Q9ER24 A0A287BHY5
Q9QXQ0 A0A287B2B4
Q2PQA9 A0A287BFY7
D3ZTT7 F1RPH0
A0A0G2JSJ5 A0A286ZZW4
G3V8M5 K7GNS9
A0JPP6 F1SIG5
A0JPN1 Q2EN79
A0A0G2JSZ1 I3LRN2
Q3T1H6 A0A287AZX4
Q2IBC6 Q6RVA9
Q6P9X1 F1STY9
A0A0G2K331 A0A287ACM5
Q64620 F1SUT8
F1LQI5 F1SUQ5
Q6AY02 M3VK32
D3ZUJ5 A0A287B2L2
A0A0G2K0K8 A0A287BIN4
Q66HA1 A0A287B4V5
Q91ZN7 A0A287BJH4
D3ZWP8 A0A287AMU0
A0A0G2JST3 A0A286ZLH7
F1MAF8 F1SAM0
D3ZCS4 A0A287AFM0
D3ZN76 A0A286ZV83
D3ZER6 A0A287B6A9
P18864 F1SAG1
Q66X93 I3LG73
Q63016 A0A287A688
F1LV21 F1S9R5
B0BNL2 Q864V7
D4AD02 A0A287API2
A0A0G2K1V9 Q28987
B5DEL1 A0A287AZ57
A0A0G2JT93 I3LA48
Q64232 A0A287BPW4
D4A929 F2Z5E6
A0A0G2K331 A0A286ZYH6
Q3B7L1 F1SD90
P68370 Q2XVP4
D3ZXF8 I3LDL4
O88656 B5APU6
Q6P3V8 A6M928
D3ZCS4 A0A287B726
B2GUZ0 A0A286ZR64
H9KVE3 P62844
D4A929 F1RFD3
Q9Z336 B8Y650
Q66HA1 A0A287BK29
B2RYW8 E7CXS0
Q2PQA9 F1SNX8
P39950 A0A287BT99
Q56A27 F2Z5E6
D3ZLC1 I3LIB1
Q5U367 A0A286ZS52
D4A2B7 F1S0W9
Q6P9V6 I3LG73
D3ZTM7 A0A286ZKL8
Q5PQK4 F1S395
Q56A27 A0A286ZTN4
E9PTR3 I3LUD5
Q6AXY9 F1RQ12
Q00969 A0A287AJ85
F1M4M5 F1SAQ6
O35410 M3VK28
Q2PQA9 A0A287BPQ1
P07340 A0A287AFM0
A0A0G2JUQ3 F1SIA3
B4F7C2 A0A287AFZ3
P27704 A0A287AX02
Q3B7L1 D7RA36
P16599 K7GR08
D3ZAG0 A0A287B6K3
O35814 A0A286ZK26
Q3L472 A0A287B2K5
D3ZUX5 A0A287BMZ8
F1LRL9 F1RFD3
D3ZAG0 F1S2Z9
Q9WUS0 I3LRN2
D3ZLS5 F1S475
Q924S5 F1STY9
D4AEB3 I3LGD6
D4A2H2 Q06AV2
Q498N4 F8T0U2
F1LTU4 I3LCK3
F1MAK9 A0A287BPQ1
A0A0H2UI20 A0A286ZK26
Q56R17 A0A287AXQ4
F1LQS1 F1SJ69
A0A0G2QC27 F1SE91
G3V8W6 A0A287B425
Q07014 A0A287AT90
Q9WUS0 K9IVK6
D4AE10 A0A287B1A7
P38983 F1SNX8
B2GV73 A0A287BIG4
F1M0R1 F1RXE4
Q7TP77 A0A287B559
F1M0R1 F1RZA6
D3ZVM4 A0A287B2L2
F1MAL5 A0A287AJJ6
P27704 A0A287AB58
Q63769 K7GKF8
P27704 A0A287BGA2
Q4QQV0 E7CXS0
A0A0G2JSJ5 A0A286ZVH7
Q498N4 A0A287B2B4
A0A0G2JSQ6 Q864V7
D3ZMY7 Q8HZV3
P70501 K7GNC8
A0A140TAH3 A0A286ZN42
Q63364 I3LJC2
D4A8M7 A0A287B540
F1M7B8 A0A287ATD3
A0A0G2KBC7 A0A287A6E8
G3V8D5 K7GSM3
E9PU01 F1SNX8
F1LQH2 M3VK32
Q4KM87 F1ST49
A0A0G2JY43 F1S5C5
F1LM09 I3LA84
F1LRL9 F1RUA0
F1MAL5 A0A286ZT34
Q5FVC2 F1RKX9
A0A0G2KA90 F1S1F1
P07340 A5GFU7
O70509 Q8HZV3
D4A929 A0A287AW46
M0R8E8 A0A287A273
G3V681 F1SSL4
P35426 F1SCF5
Q6AXY9 A0A286ZP72
A0A0G2K8Q8 A0A287ACM5
M0RB65 A0A287B1A7
Q56A27 F1S0W9
Q5PPI1 A0A287ARU6
Q5RK08 F2Z5E6
P12841 D5KJI2
Q3B7L1 F1SAM0
F1LQH2 I3L7L2
F1M4M5 F1SU46
Q5U313 F1SUT8
Q5M947 F1SGN4
A1A5S1 F1SNX8
A0A0G2K612 M3VK28
H9KVE3 A5A8V7
A0A0G2K8P3 A5D9M6
D3ZQM0 F1S5A8
B1H269 F1RPH0
M0R7E6 A0A287BT17
Q62703 F1SJ93
F1LRL9 F1S5A8
Q4FZS2 A0A287BR84
F1LRJ6 A0A287AQ36
F7FL53 A0A287BDM0
A0A0G2JTT2 F8T0U2
F1LP04 A0A287B2L2
A0A0G2JST3 K7GK90
D4A929 F1RUA0
Q6AXY9 I3LD41
Q62928 A1Y2K0
B2RZ74 I3LI05
D3ZLS5 A0A287B540
Q68FP1 F1RPE5
Q66HM2 F1SAI8
F1LM47 A0A287BBJ7
O35092 A0A287BJ79
A0A0G2K2M9 A0A287BBC3
P18864 F1SDH5
A0A0G2K331 Q2EN79
Q5U3Z7 A0A287BKR2
G3V8D5 F1S956
Q5D006 A0A287AQ36
P62744 A0A287BIG4
D3ZAB6 A0A287AN25
A0A0G2JSI8 A0A287BJP3
M0RBF8 P05027
D3ZUY8 F8T0U2
D3ZHS3 A0A286ZWH8
B1WC74 F1SQG2
Q5BJS0 F1ST49
F1MAL5 A0A287AJ61
F1MA52 I3LNX4
D3ZLS5 F1SU46
Q32PX2 A0A287BNE4
D3ZCS4 F1SUT8
Q64350 F1SG88
D4AA94 I3LVB2
A0A0G2K3W4 F1RF23
D4ABC4 I3LCP8
Q5PQK4 F1S3E0
F1LRJ6 F1SRK8
A0A0H2UHA6 I3LC25
E9PU01 F1RPH0
Q4KM87 A0A287A6N8
F1LTU4 A0A287BHY5
Q6P7R8 F1S403
D4A4T6 F1RN84
Q8CJH2 A1Y2K0
Q9ET64 F1RSY4
F1LRI5 A0A287BNK4
F1MAF8 A0A286ZMB2
F7EUU4 F2Z540
P60889 F1SNY1
P62994 B6E241
D3ZXL5 A0A287BLE1
P25977 F1RHU6
D3ZE75 A0A286ZIJ9
D3ZE26 F1S4A6
D3ZCQ7 A0A287B1W2
F7ESD4 Q28987
A0A0G2JST3 F1SGG3
A0A0H2UHA6 A0A287AWN6
A0A0G2K3W4 I3LD41
F1LRQ5 F1RLT7
B2RZ74 A0A287A5X3
B2RZ74 A0A287BT17
D3ZUJ5 A0A287ACM5
E9PTT0 A0A287BPQ8
Q3MHS9 I3LA84
M0RBF8 A0A286ZRN9
P39950 Q52QT8
D3ZDZ0 A0A287AQ36
Q5M808 A0A287BK29
Q91ZN7 A0A287B0Y7
F1LQH2 F1SBF0
B5DF45 A7XUJ6
F1M8E5 I3L7L2
A0A0G2JWA2 Q8HZV3
E9PU01 A0A287AWN6
D4A929 F1SN45
Q9Z2Z8 K7GQ93
Q64620 A0A287A9Y2
Q499N6 I3LUD5
F1MAL5 A0A287B726
Q4QQS7 F1SQ55
F2Z3T9 I3L9F7
Q5M808 F1SEX6
F1M1W4 A0A286ZK26
D3ZMN5 F1SAK9
D4A9V4 A0A287BH84
D3Z8G7 F1SAN7
F1LM47 A0A287BLV8
Q5PPL1 A0A287B0M4
E9PSY8 F2Z5N6
D3ZTG2 A0A287BMZ8
G3V8D5 A0A287AB58
Q6P7B0 F1SV16
B2GV58 R4JU57
F1M9G6 I3LPN4
F1LM09 F1SH97
G3V888 I3LG73
Q5EB96 A0A286ZP72
P27704 F1S5K9
