G1TGR9 B8K1X9
G1SUQ6 Q63073
G1U1Z6 F1LRV5
G1SGZ8 Q505I5
G1TC59 Q6P771
G1TE94 F1LRB9
G1U8B5 Q5FVL4
G1T9N8 D4A2M3
G1U5D4 Q6MGB4
G1SGY8 D3ZJX5
G1SL72 Q5M7T9
G1U1T5 P56700
G1SN35 A0A096MJ37
G1SX32 E9PSY8
G1T2F2 F1LR10
G1TD30 D4A4X5
G1U0L8 A0A0G2JZU6
G1T646 A0A0G2JYH7
G1TD74 D3ZLI9
G1TR82 Q5XIF6
G1U5H3 Q10739
U3KNR4 M0R8K1
G1SEG7 A0A0G2JWS3
U3KMX0 P35353
G1SRK1 F1LN03
G1SLC3 D4AB49
G1T391 B2RZD1
G1TS89 D3ZIL9
G1SYS3 M0RCL1
G1SMN9 D3ZCQ7
G1SUH7 Q4KM95
G1SML4 P16970
G1THQ6 A0A0G2K9C0
G1SWG7 M0R6D8
G1SMF9 D3ZCC7
G1T810 D3ZB71
G1TJ05 D4A7K0
G1TPD9 D4ADC7
G1TLB8 P70705
G1U0L8 F1LQN6
G1SMQ9 Q4KLY4
G1T554 M0R4S2
G1SXP0 P51842
G1SJ80 A0A0G2JSI4
G1U637 D3ZA12
G1TYT3 Q9R0T4
G1SN56 B4F7A9
G1SEC2 D3Z8I9
G1U1P5 D4A4Q7
G1SE54 D3ZXK3
G1TLV2 D3ZDS8
G1TBX3 D4AC33
G1SGM5 D3ZMR2
G1T876 D3ZEU8
G1T511 D3ZJ92
G1SYK9 D4A0L1
G1STW6 P17105
G1SD50 Q5XI98
G1TT07 M0RA44
G1SZR6 A0A0G2JSP3
G1SZX7 D4A8C5
G1TKX5 Q6XUX2
G1SPE4 D4AAM0
G1U0L8 B3DM92
G1U6T0 P14173
G1SD50 G3V678
U3KMP1 Q6P7B0
G1T8H7 P08644
G1SCT4 Q5QJV4
G1TCJ6 D3ZUQ8
G1SH25 P61212
G1SGW9 M0RAT6
G1TGZ4 Q5XIR4
G1TAD1 P25961
G1SD58 E9PTR3
G1SKM1 G3V8S5
G1T390 Q6AY05
G1TYN2 Q9JHJ1
G1T7T9 M0R5T3
G1SMK5 D3ZV15
G1SMW3 D3ZB71
G1SU47 Q5BK77
G1SWY1 D3ZBE5
G1T6L3 A1A5R9
U3KN56 M0R8Z6
G1SK26 M0R613
G1T1R6 A0A0G2JWU7
G1SG88 B1WC31
G1SI05 Q3KR73
G1U843 D3ZWG3
G1U6T2 D3ZK16
G1T7W9 D3ZBT2
G1SF90 D3ZB71
G1TIF2 A0A0H2UH92
G1SEY7 B2RYV8
G1TD30 B2RZ60
G1SE18 M0R5A9
G1TD81 Q8CJH2
G1TR97 D4A554
G1TC59 P16443
G1STY6 Q66H78
G1SCZ4 F1MAK3
G1U9S2 A0A0G2JSH5
G1SZ14 P18422
G1SHA2 Q9WUC8
G1SKC1 F1M8G0
G1SZ89 F1LWN5
G1SU32 D3ZCS5
G1TKX6 M0R6D8
G1SIX4 Q5PQW4
G1T383 D3ZKW6
G1T7C2 D3ZRD2
G1T0X9 G3V6C9
U3KPC9 Q3LZI9
G1U0E9 D3ZSF0
G1T818 F1M2F9
G1SRB5 D3ZEH2
G1TCU2 Q5BJP1
G1TP83 D3ZH12
G1TBX3 F1M8F4
G1TPN2 Q5XIP6
G1SCY8 A0A0G2JST3
G1ST07 D3ZCC7
U3KMH7 D3ZAJ7
G1U3B2 Q498M4
G1STY6 A0A0G2JXP6
G1SZR1 D4ADG3
G1TYC1 D4AC33
G1SLW2 A0A0G2K4R1
G1TIP3 Q5U313
G1T607 P17046
G1T568 Q4KMA2
G1SLH7 Q5PQL2
G1T5R9 D3ZNW6
G1T607 B1H269
G1SE50 Q5U2U2
G1TKX6 D3ZXM2
G1SZ89 Q505I5
G1SS04 P63156
G1U610 D4AC33
G1SQ34 F1M8E5
G1SMF9 F1M9B7
G1SIC9 A0A0G2K5U0
G1SRD6 D4A9U9
G1TP30 P43138
G1SS51 D3ZXM2
G1TI39 F7ENH8
G1SIG2 Q63768
G1SZM9 D4A6N8
G1STR3 B5DEL1
G1SD91 P61212
G1TIF8 D4A6N8
G1TSJ2 F1LWN5
G1T9D7 D4A135
G1SUD3 D3ZAR1
G1TKX9 Q6AYU0
G1SK52 O54975
G1U5X6 D3Z9I3
G1SDL0 A0A0G2K1G4
G1SWV3 Q499U6
G1TET8 D4A078
G1TKM9 D3ZBT2
G1SUH8 F7F9U6
G1SMQ8 B5DFJ4
G1TNH9 F1LTU4
G1T7Y1 E9PTF3
G1TDK5 A0A0G2K6Z8
G1TRU2 D4A2M3
G1SJ36 A0A0G2JYN5
G1T688 A0A0H2UHT3
G1T818 M0RAR2
G1SEG7 M0R7K6
G1SSM2 Q4V7D8
G1SZ06 D3ZBX1
G1T3Y6 Q66HA4
G1SGZ8 F1LVT0
G1SE22 D3ZZR4
G1TD22 E9PSJ3
G1T720 P61805
G1SNN1 P16443
G1ST66 D3ZTP0
G1TVH9 D4AC36
G1TKM9 Q5FVL4
G1TJU2 G3V6Q2
G1U8U5 D4A1B2
G1SWG7 P0C6P7
G1SWH0 Q04589
B7NZM9 D4A1L2
G1SLH2 Q6DGF9
G1SHA2 Q68FQ7
G1SVM7 D4ABD5
G1T8P5 A0A0G2JW85
G1SEV3 D3ZKV8
G1SK06 F1LRQ5
G1SDC9 Q6AYC5
G1T511 A0A0G2JZI2
G1SGW5 D3Z9H1
G1TD30 F1LQN6
G1TDF5 Q5QJV4
G1SWR6 F1LLW9
G1T2Y3 P63014
G1T1E3 F1LN88
G1U187 Q91Y94
G1TVH9 P83888
G1T494 A0A0G2JZU6
G1T6B3 G3V913
G1U637 Q5XIE1
G1TI39 D3ZRN2
G1U7W5 F1LMI6
G1TVA8 Q62746
G1TIF8 A0JPK9
G1SJ23 A0A0G2K0X1
G1TIF8 M0R4S2
G1SKW5 F1M9D6
G1SCT7 Q5U3Z6
G1U0L8 P18901
G1SSL9 D4A5D6
G1SLH7 Q5PQX1
G1SEN5 Q5U313
G1T9N8 P49950
G1TPN2 Q99N27
G1T1E3 Q9WUC8
G1TDP9 A0A0H2UH92
G1T9N8 F1M9X0
G1SK73 Q5FVJ5
U3KNR4 A0A0G2JTY4
G1SJI1 P63219
G1T7W9 D3ZPK4
G1TU23 A0A0G2JW85
G1U9I8 Q66H50
G1T481 Q64620
G1TSJ2 Q505I5
G1SJX7 Q64349
G1T5H5 Q5M947
G1T3Y0 Q63396
G1T2N8 P09495
G1SDL5 D4A0Z0
G1SMF9 P63156
G1SIU3 D3ZZR4
G1SPV6 D3ZQF8
G1SQV5 B1H227
G1SCQ4 Q6PDU5
G1T8G7 P14173
G1T0T6 D3ZBP3
G1TN01 Q5M947
G1SEY7 Q5BJP1
G1SIT9 A0A0G2K2M9
G1T0Y2 Q5QJV4
G1SIU3 A0A0G2JSV4
G1TRZ0 Q32PX4
G1T4M6 D3ZI66
G1SMT8 A0A0G2K0K6
G1T3C6 D3Z8X5
G1TCP9 Q6MG07
G1SL09 D4A7R4
G1T3X4 G3V6I3
G1TP83 B2RYH5
G1T1Q0 P61169
G1TGD3 D3ZB71
G1T8M2 F1M173
G1TGL7 D3ZVT6
G1TYC1 D3ZRJ0
G1T494 D3Z9K9
G1SCY8 F7F9U6
U3KNR4 A0A0G2KAJ3
U3KN56 D3ZQ06
G1SSE9 Q1XID0
G1TS24 A0A0G2K772
G1SYG7 D3ZEH2
G1TLV2 Q6AZ60
G1U235 D4A4X5
G1SGZ8 D4A7E9
G1TU23 Q6AXT9
G1ST34 F1LR39
G1U215 Q62762
G1TIP3 D3ZCS4
G1SHC7 Q9JLS8
G1SMF9 Q1XID0
G1SZ79 B0BNB3
G1SEW6 Q6AYL9
G1TDE7 D3ZIK8
G1SWS9 A0A140TAG9
G1T5H5 D3ZG48
G1TA73 Q62844
G1TSK0 D4A0L1
G1TW52 D3ZMN5
G1TKX6 D3ZXH8
G1TAV7 Q8VBU7
G1SLS3 D3ZNU1
G1U631 M0RBT9
G1SMZ5 Q5U2Y6
G1U3B2 F1LN88
G1T7M3 Q68FQ7
G1SSD1 D3ZRJ0
G1TDE1 D3Z9Z9
G1U0L8 G3V8G3
Q6ECK6 Q8CH01
G1SZB4 D3ZJN7
G1T8R5 D3Z8S9
G1SG92 Q5XIB2
G1SJJ8 D3ZBL5
G1U6X2 F1M9D6
G1SFW6 B5DFE2
G1T288 D3ZS15
G1T646 P51638
G1TJU2 D3ZHJ4
G1SXM2 F1LMG2
G1SCY8 Q66H50
G1SUF3 D4AA47
G1T9T8 D3ZB81
G1SFV1 D3ZRN2
G1TYC1 A0A0G2K9M4
G1TCP1 D3Z8D3
G1TB50 Q9JI92
G1U2Y0 Q0VGK0
G1SQ94 Q7TNY1
G1SUJ9 D3ZCQ7
G1TAD1 F1M8F4
G1SEN5 B2GV58
G1SVY6 A0A140TAA8
G1SJ80 P42260
G1TEF8 D4AA66
G1ST56 D4A857
G1SSP5 D3ZYT6
G1SD81 A0A0G2JST6
P11611 P62716
G1TBM7 F1LRV5
G1SCY6 D4ACU0
G1TIF8 D3ZQF8
G1T688 D3ZBP3
G1SLZ1 F1LUD4
G1T2N8 D3ZNU1
G1SU65 F1LW22
U3KN03 G3V913
G1SUH8 F1LTU4
G1SSD1 A0A0G2K9M4
G1SIA4 Q68FT9
G1T554 A0JPK9
G1TPT0 Q5RJQ7
G1ST34 Q5RJM0
G1SHA2 D3ZZC1
G1T481 E9PSY8
G1TF42 M0RCL1
G1T737 P09416
G1TTQ4 Q04589
G1T6U3 P70705
G1SLF7 Q9WTQ6
G1TJL6 F1LNX2
G1SVV6 A0A0H2UHI2
G1TDP9 D4AC33
G1T3P5 D4A135
G1TAA5 D3ZRL3
G1SH24 G3V7D8
G1U6T0 F1M944
G1SXM6 Q6DGF9
G1T4T4 P49950
B7NZM9 P53790
G1TRM6 Q1XID0
G1SEL9 Q5M7W7
G1U9I8 A0A0G2JST3
G1SPV6 A0JPK9
G1TZN2 Q3B7U9
G1TV09 D3Z863
G1SKJ8 D4A206
G1SMN9 M0RBT9
G1T5H5 F1LR39
G1TPS0 Q6AY75
G1SZM9 A0JPK9
G1TKX6 F1LUD4
G1U6X2 G3V913
G1TAZ8 D3ZGK2
G1U194 D3ZIX4
G1SV48 Q07490
G1SSV3 Q6W3B0
G1TE94 A0A0G2K7J3
G1U631 P18864
G1SJ80 D3ZSU6
G1TPT0 M0R7K6
G1SSN3 Q6AZ60
G1TIY7 D3ZGK9
G1TQE6 B2RYT6
G1SS04 F7FN89
G1SGM2 Q66HA4
G1TZP0 P61983
G1T128 P16612
G1SEN5 Q91ZN7
G1SXC5 D4A275
G1SKU2 D4AE21
G1T1I5 A0A0G2K8N1
G1SSE9 D3ZCC7
G1SUJ9 P18864
G1TF91 P62260
G1TB31 Q924T8
G1SVY6 A0A0G2K8N1
G1TMQ0 A0A0G2K9M4
G1U6T0 A0A0G2JXI1
G1SEB9 G3V6M6
G1SI26 B5DFN1
G1SWG7 D3ZXM2
G1T8G7 F1M944
G1T991 F1LMH8
G1TYY6 D3ZWG3
G1SS51 D3ZXH8
G1T2M5 P61808
G1U215 D3ZCQ7
G1TKT7 Q6IML7
G1SMY6 Q80U96
G1SRB5 A0A0G2KAJ3
G1SF41 M0R7I8
G1SQG4 A0A0G2K349
G1U0H8 O55170
G1SG70 B1WBU7
G1SJ80 P22086
G1SS04 D4A2M3
G1SM05 A0A1B0GWW0
G1SLG1 G3V6V8
G1U9E2 Q5XIU7
G1TWX0 D3Z9J4
G1SML4 P62997
G1TIF8 Q63467
G1SZD5 Q5HZE5
G1U0L4 A1A5P2
G1T2P2 E9PTS4
G1SXX9 O70248
G1THZ4 F1M9X0
G1T7M3 Q5PPI1
G1T481 Q5U313
G1T7M3 A2VCX1
P47823 Q63396
G1U6X6 Q5RJM0
G1STM7 D4A3G2
G1SRF6 Q8VH49
G1U610 A0A0H2UH92
G1SIJ3 F1MAF2
G1T5S2 Q6QI44
G1TUU4 Q10739
G1TVH9 G3V727
G1U610 A0A0G2K9M4
G1T288 B2GUY1
G1SE83 B1WC90
G1TXP6 F1M9B2
P04924 D4AA11
G1TRU2 P63156
G1SR65 A0A0G2K1A2
G1SG92 Q3MHS2
G1SWW0 A0A096MJW8
G1TE36 Q7TQ24
G1SJ86 P12392
G1T8X8 D3ZQ06
G1T0T6 A0A0H2UHT3
G1SVI6 D4A5H7
G1SS92 Q6P6G2
G1U6X6 D3ZG48
G1TYY6 F1LSV1
G1SXS3 D4A8G7
G1TTL1 D3ZTB4
G1SJ36 B5DFC8
G1T5H5 Q5RJM0
G1U1P5 Q496Z2
G1SMY1 A0A0G2K4Y6
G1SKW5 G3V913
G1TVU8 D4A5D6
G1SLF7 F1M957
G1TZ76 A0A0G2JWX4
G1T494 D4A4X5
G1T554 Q63467
G1U843 P16443
G1SYI5 F1LYX1
G1TE66 F1M8R0
G1TTQ4 P16612
U3KNR1 F1LM09
G1SJI1 D3ZCL3
G1TT28 F1LMG2
G1TG54 Q6PDU5
B7NZM8 P68511
G1T0U6 Q5XI94
G1TAE2 B5DF91
G1T6Y8 P10980
G1TSW5 A5HKJ1
G1SSF7 Q63396
G1U1T5 Q5BK39
G1T390 D4ACZ1
G1U0H8 Q0ZFS4
G1T568 F7ENH8
G1SX11 F1LR42
G1T727 D3ZFI7
G1U198 Q2EJA0
U3KN12 A0JN29
G1SWW8 P63088
G1TU47 D4A0L1
G1TPG5 Q924T9
G1TBG9 F1LSG8
G1U0D5 E9PT44
G1TTB8 D3ZUQ8
G1SSD1 A0A0H2UH92
U3KNN8 A0A096MJ37
G1U215 P18864
G1TIB7 Q99PR0
G1SQR2 A0A0G2JSI4
G1SLW2 D3ZA25
G1U8F0 P43138
G1SH39 B1H268
G1SLG1 F1LMI6
G1U0Y2 D3Z8D3
G1SZT9 P35739
G1SX39 G3V6V7
G1T9T5 O70436
G1TIB7 D4A3D4
G1TTQ4 Q9QY10
G1ST56 P83888
G1TJZ7 D4A8C4
G1SHG8 F1LWZ7
G1SL26 Q5I0J5
G1SYA1 P0C1S9
G1TQ35 A4L9P7
G1T554 D4A6N8
G1TIW9 Q923V4
G1SMF9 D4A2M3
G1T2Q0 A0A0G2K9V0
G1SIX4 D3ZQL7
G1TCW1 G3V913
G1SWM5 D4A6J0
G1U6L9 D3ZYK8
G1T2Q0 D4AC33
G1SFK9 A0A140UHY0
G1TRU2 D3ZCC7
G1SQK0 P62193
G1TNH9 Q9ER24
G1SH01 Q5U2M8
G1U6X6 F1LR39
G1U7W5 Q8R522
U3KMP5 Q3KR59
G1SP66 G3V8Z7
G1T5H5 Q6AY09
G1T9U0 F1LV96
G1SN06 O35547
G1T2F2 D3ZNU1
G1SXJ0 F1M7V6
G1TJU2 M0R887
G1T757 A0A0G2JSV4
G1TD30 A0A0G2JZU6
G1SHA2 Q5PPI1
G1SQ43 A0A0G2K7F0
G1SLD3 M0R8Z6
G1SS51 F1LZI7
G1TET8 D3ZKI6
G1SDH7 D3ZCM7
G1T607 Q2PQA9
G1STY6 F1M1G2
G1U3N6 D4AA66
G1TRM6 Q8K1G0
G1SLG1 Q6AYU0
G1THZ4 D3ZCC7
G1TJY0 Q0VGK5
G1SLF7 B1H244
G1T481 Q5PQX1
G1TP56 Q4V7E0
G1SLF7 O54854
G1U1T5 Q8K1G0
G1SYG7 A0A0G2KAJ3
G1SHN4 Q641Z2
G1SUJ9 M0RBT9
G1SJI1 F1M8F0
G1TU17 Q5M7T9
G1SXX9 A1L1I3
U3KNR4 D3ZEH2
G1SHA2 Q5RK09
G1SRV2 Q6MG49
G1T8E2 A0A0G2JVC1
G1T9D7 D3ZLI9
G1TTQ4 Q63434
G1U392 G3V749
G1T0H1 E9PTF3
U3KM41 B5DF82
G1SZ06 D4A5C3
G1STB8 Q66H63
G1T688 A0A0G2JTY4
G1SUY2 A2VCX1
G1TCC1 B1WC02
G1TPS0 Q6P734
G1TS89 A0A096MJ37
G1T1E3 A2VCX1
U3KMP1 A0A0G2K5E7
G1TS89 D3Z9L5
G1TY37 D4AA94
G1U8B5 D3Z8D3
G1TIZ7 D3Z8X5
G1SWH0 F7FHT4
G1SZ89 D4A7E9
G1TBF1 A0A0G2K612
G1SL72 F1LNW3
G1TBH9 P20793
G1T012 D4A261
G1SUF4 D4A2H2
G1SR94 F1M9H1
G1ST12 Q6QI44
G1TCX9 D3ZKW6
G1U6Y4 D3ZQ60
G1SQ94 B5DEL1
G1TRM6 P22909
G1T5S2 M0RBS9
G1TEL4 Q3SWU0
G1U9B4 P62997
G1T7V5 Q6P6R2
G1SEG7 Q5RJQ7
U3KN85 A0A0G2K4Y2
G1SDI7 A0A096MJY4
G1TAS3 F1LZI7
G1T579 D4A4T6
G1T6F4 M0R8Z5
G1TCZ8 Q5XI34
G1U0L8 D4A4X5
G1SN81 G3V7D4
G1T9N8 Q5BK39
G1SYZ9 Q4KLN5
G1U730 B0BNI2
G1TD30 P18901
G1SIY1 Q66H90
G1U711 P62501
G1U3K4 A0A0G2K772
G1U1T5 P63156
G1T8W1 Q68FP9
G1T876 D3ZVQ9
G1SS22 Q6AZ64
G1T1E3 Q5RK09
G1SSI5 D3ZCC2
G1U8B5 D3ZPK4
G1SV81 G3V8C0
U3KP81 A0A140TAH2
G1T8G7 A0A0G2K4P5
G1TA93 Q5I287
G1SUL4 G3V7Z1
G1SE22 A0A0G2JSV4
G1U0L4 F1LR39
G1T3X4 D4A033
G1T0Y2 Q6IML7
G1U3D6 P47824
G1SR16 P61203
G1TVH9 D4A857
G1TUF8 D3ZUM2
G1SXG1 A0A0G2JTT7
G1SX32 Q91ZN7
G1U235 Q63511
G1TJU2 Q4L0E9
G1TP83 F1M049
G1TU23 E9PT13
G1SZG3 P10980
G1TZ76 A0A0G2JST3
G1SL84 P98087
G1TCK9 F7F0B1
G1STC9 Q5BJT0
G1THQ6 B1H227
G1T0W1 D3ZZC1
G1SU65 B0K018
B7NZN9 Q07984
G1U843 D3ZLB7
G1SLD3 A0A0G2JUI2
G1T2S4 D4A208
G1TGC0 D3ZME7
G1T0D8 B0K014
G1TZQ2 M0R887
G1TPS0 D3ZTL5
G1SZK4 Q63396
G1T7Q2 A0A0G2K4P0
G1U5D4 G3V7K9
G1SYE7 A0A0G2JTY6
U3KNP5 A1A5R9
G1TG73 F1M5C9
G1T0W1 A2VCX1
G1TAL4 P38438
G1TJY6 A0A0G2JSP4
G1SL72 B5DEZ8
G1TMQ0 D3ZRJ0
G1U3B2 A2VCX1
G1TDP9 A0A0G2K9V0
G1SF46 B2RYB3
G1TS89 B4F779
G1SGY7 Q6MG13
G1TN01 Q6AY09
G1TC61 Q6MG08
G1SI05 F1LS35
G1SPV6 M0R4S2
G1TMQ0 A0A0H2UH92
G1STY6 D4A3D4
G1SHA2 F1LN88
G1T2P2 P83888
G1SXH8 Q5RJQ7
G1TWX0 Q5RJR4
G1TC79 F7F7Q9
G1T1I3 Q498D8
G1SIJ3 Q5FVH4
G1T494 B2RZ60
G1U1T5 D3ZCC7
G1T481 Q91ZN7
G1U610 A0A0G2K9V0
G1U8V0 P97639
G1SLZ8 P41499
G1TZM6 D3ZW24
G1TZM6 Q6P771
G1T6G0 Q63118
G1T7C2 Q91Y94
G1TSU1 Q9JHF3
G1SGA9 D4ABN8
G1U0W0 P61794
G1SVT3 F1M8F0
G1T4F9 P23928
P47823 Q62785
G1SIT9 F1LQ81
G1U3B2 Q5RK09
G1SUH8 Q66H50
G1T3H5 P70541
G1SKM5 F1LQX9
G1T6I0 Q8K1G0
G1SJW2 Q1LZ51
G1U235 Q6P6R0
G1SRA9 Q99J82
G1SPV6 D4A6N8
G1SX32 B2GV58
G1SMF9 Q6IRH4
G1SNN1 D3ZWG3
G1T391 D3ZA12
G1TEG1 D3ZQI6
G1T4T4 Q6IRH4
G1THZ4 D4A2M3
G1T2W5 D3Z9E9
G1SVT3 D4A5T1
G1T2Q0 D4AEG2
G1SWE7 B1WBV3
G1TSX0 Q63467
G1U8C1 Q7TNZ5
G1T1A9 F1LXB6
G1U2E0 Q4V7D8
G1SZB1 Q4KLJ4
G1U652 D3ZZS8
G1TAI8 D3ZP96
G1TJY0 Q5U2S0
G1SZK4 Q62785
G1TC59 D3ZW24
G1U7T9 D4A8C4
G1TT35 D3ZXH8
G1SYN1 D4Q8I2
G1T3C6 D4A7M3
G1T9D0 F1M3K6
G1SUJ9 Q62762
G1TZB1 A0A0G2K0K7
G1TNH9 A0A0G2JST3
G1U1T5 F1M9X0
G1TMP5 A0A0A0MY35
G1SF00 D3ZNU1
G1TKX6 P0C6P7
G1TU17 F1LNW3
G1SJ80 F1M8D3
G1TU17 B5DEZ8
G1TAJ6 Q9ER31
G1SDZ3 M0RCA3
G1T4T4 Q5BK39
G1SSS6 D3ZXZ1
G1U7U5 Q3SWU0
G1U0L8 D3Z9K9
G1TP56 P51638
G1SQR2 D3ZSQ1
G1TD66 F1MA10
G1TYY6 P16443
G1SGM2 V9GZ88
G1TRM8 P63016
G1TNH9 A0A0G2JWX4
G1T8N6 Q5FVN0
G1TCC1 P53987
G1STC9 F1M6T6
G1U3B2 Q9WUC8
P47823 Q64350
G1SSE9 A0A0G2KAH3
G1SEN5 F1MAL5
G1SLH7 E9PSY8
G1T494 Q63511
G1SYG7 A0A0H2UHT3
U3KPN9 Q6AY05
G1SUY2 Q5PPI1
G1SZU2 F1LNZ2
G1TIF2 D4AC33
G1TKX5 D3ZSQ1
G1T2J3 F1LSV1
G1SRF6 D3ZZK8
G1ST34 Q6AY09
G1TFV2 A0A0U1RRU5
G1SQ17 F1LLW9
G1SVQ9 D3ZME7
G1TYK6 A0A0G2K9C0
G1SX11 Q6AYL9
G1U1T5 D4A2M3
G1TVH9 P30835
G1TIP3 B2GV58
G1T7W9 D3Z8D3
G1SHC6 D3ZHJ3
G1TJ27 G3V6Q2
G1SRD4 D4A5D6
G1SF00 F1LR10
G1SX32 Q5PQX1
G1U300 D3ZGZ9
G1SXH8 M0R7K6
G1SUY2 Q9WUC8
G1SM76 D3ZJT1
G1SWG7 F1LZI7
G1TCP6 F1M2F9
G1TF42 M0RC73
G1TUM1 D3ZM22
G1SPX4 A0A0G2K8X5
G1T554 D3ZQF8
G1SHA2 M0R7E6
G1SMN9 Q62762
G1SX11 D4AC33
G1SPX3 Q3B7C9
G1SKS8 F1LQP9
G1TT35 F1LUD4
G1SX32 Q5PQL2
G1TP72 G3V6T9
G1SZE4 G3V6K6
G1SXW9 Q499N2
G1TQ55 O55162
G1SZM9 D3ZQF8
G1T5V5 D3Z8X4
G1SN07 B2GUY1
G1U6H0 Q9Z270
G1TS42 B1H268
G1U0Y2 D3ZBT2
G1U194 F1MAK3
G1T1E3 D3ZZC1
G1SYG7 M0R8K1
G1U9B4 P16970
G1SI05 F1LR18
G1SK52 Q5XHZ9
U3KPN6 D4A4X5
G1SME5 F1LUC0
G1SUY2 F1LN88
G1TD30 D3Z9K9
G1SYS2 D3ZGZ9
G1TSI3 Q7TNY1
G1U9I8 F7F9U6
G1U9R2 P01257
G1T4I7 Q9Z336
G1T1E3 Q68FQ7
G1SGY4 F1LWZ7
A5A4K9 O08725
U3KPN9 Q53E76
G1SRV2 P04785
G1T1V9 P14659
G1TWD0 D3Z8X7
G1U0E9 A0A0G2JUT7
G1SNL7 D3Z9C0
G1SY00 G3V9P7
U3KM00 D3ZT51
G1SLK4 F1LTU4
G1TSX0 A0JPK9
G1T4K4 F1LN03
G1T646 D3ZHJ4
G1SE48 D3Z8K2
G1U9I8 F1LTU4
G1TG54 Q0D2L6
G1TC59 F1LSV1
G1TEA1 Q5BK67
G1SH39 D4AEH9
G1TLN0 D4A7E7
G1T3P5 D3ZLI9
G1TLB1 Q7TSY2
G1U6Y4 P70597
G1T0S9 D4AA02
G1T646 Q4L0E9
G1U0H8 A0A0G2KB72
G1T128 Q9QY10
G1SH29 G3V9Y6
G1SVI6 Q99PJ8
G1TBX3 D3ZP27
G1TPA8 B5DFB0
G1SNN1 F1LSV1
G1TKX5 P22086
G1U074 F1M5C9
G1T8E2 A0A0G2KB98
G1ST17 Q9Z1J8
G1U5D4 F1MAF2
G1SXH7 Q9WUD9
G1TT35 D3ZXM2
G1SLF7 D3ZUU6
G1SKS8 D3ZIX4
G1TZQ2 Q4V7E0
G1SY15 Q6AYF6
G1SU42 P16443
G1U9I8 Q9ER24
G1T9W3 F7ENH8
G1TBC8 Q66HF1
G1U0Y2 D3ZPK4
G1TDP9 A0A0G2K9M4
G1TCP6 M0RAR2
G1TG54 P00173
G1TZQ2 A0A0G2JYH7
G1T6E8 Q6IRE4
G1TAI5 Q99MA0
G1T390 A0A0H2UI37
G1U5P9 D4A4N1
