Q3UQ17 Q5S3S9
Q8BGN2 Q5M845
Q811Q9 G3V7M5
O88554 G3V749
Q6Y4S4 Q7TSB7
B7ZCC9 A0A0G2JXP6
Q9CPX9 D3ZXM2
Q78IQ7 A0A0H2UHY4
A2A891 Q3KQW8
A2RRY8 A0A0G2K8X4
Q8VHP6 Q91XU7
F8VPK8 F1LS01
Q4VA93 F1LS98
Q921E6 B5DF02
P56942 G3V6L0
Q6P5F9 Q80U96
Q80T69 D4A1U7
E9Q4P1 A0A0G2K3L8
Q8CI75 D3ZIL9
Q9ES74 D3ZBE5
Q8K352 B5DFK2
Q8BMJ8 D3ZQL2
E9Q4M7 Q6AZ60
P61290 Q5FVM2
P29788 Q3KR94
O55144 G3V6M6
Q811Q9 A0A096MK76
Q8CHD8 Q66H66
A2ACG1 D3ZQ38
P49769 P97887
P97770 D3ZSV7
P70372 B5DF91
D3YXF5 A0A0G2K7X7
Q99MV1 D4A3N0
Q3UA06 Q5XHZ9
P42866 P33535
Q9R078 P80386
Q3UJV1 D4AE81
Q9WUC3 F1LNW6
Q68FH0 F1M2K6
Q80V62 A0A0G2K5U0
A2AH22 F1LNQ2
Q9WUP0 Q9JHJ1
P29121 D3ZKU8
P59240 G3V9Y6
P70196 B5DF45
Q920H1 Q71MM7
Q562E2 F1LYX1
Q7TMB8 D4A8H8
A0A1N9NPH8 A4L9P8
Q91Z22 A0A0G2K349
O08992 Q9JI92
Q9JM51 Q9JHF3
E9QK82 P06907
Q6NSU3 Q6AYF6
Q8BJD1 M0RAR2
Q60631 P62994
Q60722 A0A0G2JWU7
Q9WVB0 F1M9Y9
Q3TPJ7 D4AE48
Q9DCN7 D3ZG84
Q9JKV9 D3ZFI7
Q2TV84 F1M9X0
P24788 D4A3G2
Q9CQV8 P35213
P35821 P20417
Q99MB1 F1LN63
Q9ERL7 F1M8F4
Q9Z1W9 O88506
Q8BG99 A0A096MJK1
Q99LM2 Q642E3
P39429 B5DFH7
Q80VA0 Q9R0C5
Q3UN58 D4AAA5
Q9WTM5 G3V8T5
P43021 D3ZGK9
Q64385 Q99MF4
P23804 A0A0G2JVC1
E9QK16 M0R740
Q9JJV5 Q8VHX0
A7L9Z8 M0RAF9
Q9DB43 M0RCA3
Q8VIG1 D4A7T2
Q9CZN7 Q5U3Z7
Q5M9N4 B2GUT8
B2RQE8 F1M2Q1
Q61878 G3V729
P26369 F2Z3T9
Q99P50 O08725
F7BWJ7 A0A0G2JXZ4
O89013 Q9JLS8
P12850 G3V6C6
Q9CQJ4 Q4KLY4
A2AWP8 M0RBM9
F7AC58 A0A0G2JWS3
Q9WTX6 B1WBY1
E9Q1H7 D4A0Q3
Q91W63 Q6AY91
P70377 Q9ERW3
Q3V2J9 D3ZBW4
Q06890 G3V836
Q8K4K4 G3V6J8
O55222 Q99J82
P09535 P01346
O35160 P81062
Q8CHY3 D3ZP27
P97318 Q8CJH2
Q6PGH1 O70454
Q8R373 Q8K1G0
F8VPR5 F1M9G7
Q6PAJ1 F1LXF1
A0A0B4J1E2 D4A8G7
Q499D0 A0A0G2JYT8
E9Q4F7 D3ZSU6
Q9JLV5 A0A0G2JSP3
Q3TQQ9 Q5XI94
Q3TTL0 Q66H33
Q9R0S2 A0A0G2KA10
Q9Z1K6 D3ZJB8
O35544 F1LR26
P32443 G3V6T9
G3X9H5 G3V9P7
P97766 F1LV65
Q9WUT7 Q8CH33
P51908 P38483
Q76MZ3 Q5XI34
P25118 A0A0G2JSU9
Q91WA9 D3ZCM3
Q64441 Q09128
Q64343 G3V642
Q01279 G3V6K6
Q8K3K7 D4AC45
Q64131 A0A0G2K9V0
P32082 Q02644
A2ARI4 Q9Z2H4
Q7TN31 F1MAK0
Q05BA5 F1M8E5
A0A0R4IZZ1 F1LRS5
P28700 Q0VJ96
Q04207 Q7TQN4
A2ABU4 D4A228
B9EKE5 A0A0H2UI37
Q00560 F1LPK1
F6UC55 F1M6X3
O35864 F7EUU4
Q78YZ6 Q5RJZ6
E9PUB7 D3ZMW3
Q3ULF4 Q7TT47
Q922G2 D3ZEU8
Q62440 D3ZCM7
G3UYL9 G3V7D9
Q9JMI7 G3V8N9
P0C192 D3ZSC1
Q9DBJ6 Q5BJY4
P60670 F1LQX9
Q8JZM6 Q5BK67
Q62312 P38438
P20722 Q04906
Q04744 D3ZCK7
Q80WJ1 Q66HC8
E9PYR6 Q9ERC5
Q60754 M0R9F7
P97766 D3ZGN3
Q8BIJ7 F1LR42
E9Q774 D3ZS99
P19785 A0A0G2K0D4
Q9D0A3 D4A1B2
Q3UHD6 M0RBS9
E9QK89 Q5U2M8
P18828 P26260
Q6K1E7 Q5J2D6
P11276 A0A096P6L8
Q68FH0 O35274
Q6P549 V9GZ88
Q64323 D4AAY7
Q8BJA2 D3ZM22
A2ANX3 D4AA47
A2ATK9 D4A7Y4
Q9ER75 D4A7R4
Q8K249 D0V9T4
Q9JKQ4 A0A0G2K2M1
Q9Z0F6 D3ZXM2
Q9D976 D3ZIG2
Q62376 B2RZ74
Q8C253 P08699
Q3U3I9 F1LMF4
P13634 B0BNN3
A2AQJ8 D4A7G5
P01193 Q8K422
A2RTU1 D3Z9R9
Q8BHA9 Q66H78
P60521 P60522
Q7TMD7 Q6W3B0
Q810A1 Q642B9
Q0VFX2 Q4V7B0
Q925H1 D3Z9R9
Q80W22 Q5M7T9
Q3UZZ4 D3ZMI6
Q61069 O35410
Q64387 Q62923
G3UW60 D3ZSC1
Q61080 M0R8R8
Q7TPG5 B1H244
P05627 P17325
A0A0R4J0M9 Q8CF97
P39428 M0R5V5
Q9JIY0 A0A0G2KBB3
P61407 D3Z9I3
A0A0R4J0T0 D3ZME7
A0A0R4J0I7 G3V877
D3YYZ1 D4A460
Q3UJV1 A0JPP8
Q9WV55 Q9Z270
G5E872 M0RA44
Q61532 P27704
A0A0R4IZW5 Q9R0T4
A2AKB9 D4A8G6
Q91WC9 P0C1S9
Q8CG64 Q4KLJ4
P63157 P63156
Q62447 G3V738
Q0VDY1 D3ZSJ1
Q9CRA9 Q6TA25
Q9D2V5 B1WC03
Q3UNH6 A0A0G2K331
O08804 F7F6T5
Q3ULW6 Q5XIR4
Q91VD1 D3ZBX1
O09106 Q4QQW4
E9Q9A6 B8K1X9
D3YX87 D3ZMW3
O70263 B6RHI6
Q9QYK5 D4A6E6
E9PZ54 Q5EB94
Q91Y86 F1LP66
P68510 P68511
Q9CRA0 F1MA10
P19091 A0A0G2JSI8
P54823 D3ZD73
P22518 D4ADG3
E9Q156 D4A0Q3
O54864 G3V6S6
Q8CFE2 D3ZMN2
Q99K46 Q5D006
B2RWS6 A0A0G2QC09
O35459 Q62651
Q9WUR2 Q5XIC0
Q76LW6 D3ZGN3
Q9JHQ5 Q562C6
Q8R317 A0A140TAI1
Q9CWQ8 Q5BJZ0
Q8R5A3 D3ZDZ1
Q8VEJ3 D4ADQ6
Q8VHQ3 D4AA72
O70435 P18422
A2ANY6 A0A0G2K9L9
Q68FL6 D3Z941
F8VPX2 F1MAM1
Q3TUA9 Q4V8A9
Q1RNF8 D3ZMX5
Q99JX7 F1MA52
A2BGN7 Q5BJY8
A2A259 D3ZDT6
Q9D0F1 F7F189
Q8VIG3 A0A0G2K8M2
P26450 F1LNG5
O88947 A0A0H2UHR6
Q3TQ39 F1LS98
P43135 O09018
P07724 A0A0G2JSH5
A2AT37 D3ZT03
Q99LU8 Q7TP28
O35375 O35276
Q5SSH7 D3ZG78
P59941 Q4FZY2
P01101 P12841
Q9ESF1 Q9ERC5
P35456 M0R3P2
Q3TDN2 Q5BK32
Q5F289 D3ZZ79
Q91YK8 O55162
D3Z1Q2 D4AE95
Q9ES03 A0A0G2KAH3
Q91ZD1 Q6AY34
Q03717 A0A0H2UI34
D3Z3A3 Q6IE50
Q60841 F1LZI7
Q6ZQJ5 A0A0H2UH92
Q3UKC1 Q66HA4
Q505D1 F1M400
Q60954 B1WC31
P13412 P27768
Q91VR7 Q6XVN8
P14142 P19357
Q62158 B5DFI5
H3BJD7 G3V877
O35607 F1LQC5
Q6NVF0 D3ZGS3
Q5U4C1 M0R9R0
Q3UC65 Q5U2S0
Q9DD03 P35286
S4R1V8 A0A0G2JSI4
P20181 P18280
P36898 M0R3J4
Q9CR60 B0BNB0
Q9QZW9 M0R6D8
Q9CXV9 Q5PPL2
G3UVW3 F1LRY2
E9QK83 F1LXT3
Q9Z0Y2 P04055
Q91WG5 A0A140UHX4
P60710 P60711
Q99LI9 Q5PQL4
Q60676 P53042
Q3UTJ7 Q6AZ60
Q8C5T4 M0R7B3
Q8R007 D3ZET1
Q3TD49 Q5PQL3
Q9D8T0 B5DFJ2
Q9D6N5 A0JPP1
Q8R1C3 B5DEK8
Q8VEE4 Q7TP21
O55226 A0A0H2UHB8
Q8JZL2 P97639
Q9D7F2 D3ZUF1
Q9JKV9 D4A2T8
Q9DBY4 Q496Z2
B7ZBV9 F1M6X3
Q9ERD8 D3ZWK2
Q61510 D4A9N5
E9Q3H6 D3ZX74
P97370 Q63377
Q80TN5 E9PTT0
Q6IFX3 Q6IFW2
Q8VI59 D3ZSQ1
Q61187 Q6IRE4
Q3U1D0 D3ZVQ9
Q923E4 A0A182DWI7
Q8VE19 D3Z9C0
Q80WJ6 F1M7G9
P48754 G3V8S5
Q9CQQ0 G3V8Z7
Q148W0 D4AA47
Q8BIV3 D4A634
Q5S003 D3ZXP4
Q3U1Z5 Q6MG88
Q8CJ70 D4A2T8
P31750 P47196
Q91YI4 P29067
Q9EQX0 Q9QYH7
Q9JMB7 A0A140TA97
Q9CPX5 Q4KLN5
E0CXC6 Q5XIU7
Q3U309 A0A0G2JXZ4
A2AQ52 Q5PQV1
P70390 G3V7M9
Q9EQS9 F7EL93
Q8CAB8 G3V665
P97310 D3ZP96
Q91WS4 F1LMG2
Q3UFB7 P35739
B2RRL2 M0R5M5
Q3U487 F1LVZ9
Q8CGN4 D4A2J9
Q8K288 M0R7K3
Q9WVK5 A0A0G2K9S2
Q0VBL1 F1LVC4
Q8BX70 D4A4K4
Q9D842 F6Q5G6
P70168 F2Z3Q8
P62137 P62138
P68500 F1M173
Q8BKE6 F1LSK6
P62259 P62260
Q8K1A0 B0BNB3
Q3UHI4 M0RAT6
Q8R1G1 Q0VGK5
Q07832 A0A140TAD2
Q3U741 A0A096MIX2
Q99JB6 D4Q8I2
Q9JLV1 Q5U2U8
Q9ERG0 F1LR10
G3X8R0 B2RZ37
Q32NY8 A0A0G2JYQ8
Q9CQ39 D4AA11
P63277 P63278
O35226 O88321
Q8R1N0 Q3MHS2
M9MMK0 D3ZHJ3
Q14DH7 A0A0G2K047
Q8VEK3 Q6IMY8
Q3V1U8 D3ZDJ3
Q6PDS3 O88763
Q3TVC7 A0A0H2UHJ2
P47873 G3V890
Q5M9N4 D4A0Z0
Q9CQE6 D3ZFM1
P28481 F1LRM7
O35903 Q32PX4
Q3TYX8 A0A0G2JUI2
A0A087WSB9 F1LVJ1
Q9D1C3 Q5U1Z8
Q9D3R3 D3ZVQ1
