F1RWA0 A0A1B0GR74
F1RGG1 P04202
A0A287BI89 Q9D906
A0A287AKE2 P63163
F1SG49 Q9ERK0
A0A287A991 A2A7S8
A0A287AB40 A2A7S8
F1RY92 Q8BP71
I3LG10 E9Q2I3
F1SDI6 E9QAS7
F1SEI1 Q9CQE6
A0A288CFV7 P62307
F1SRN9 Q8CHP8
A0A286ZIJ9 P14152
F1S1F3 Q9D2R6
A0A287AZJ9 Q9WVS8
F1SFM8 Q810K9
F1RT53 Q6Y7W8
F2Z503 Q9D6V8
A0A287AKR9 Q99LH1
F1SA98 P0CG50
F1SF37 J3KMG9
A0A287BE06 Q9WTQ5
F1RGG1 F8WJE0
F8SIP5 O70201
F1SEI1 P27782
F1S224 Q08874
A0A287A5Z0 P97402
A0A287B877 Q9ERI5
A0A287AF76 A2AMI2
Q3ZDR4 O55237
F2Z4Y1 P68510
B0LXP3 Q04207
F1SML4 P16546
I3L828 Q8BGF9
A0A287BHL2 O08688
F1S8V5 Q8VDF2
I3LCN0 Q9JMH6
A0A287B854 Q6P9R2
A0A287A440 Q91W29
A0A287B877 P26687
A0A287A407 Q63871
F1S7K1 Q8VDF2
A0A287B621 A2AWA9
F1S5N6 Q64151
A0A287B6L2 Q8VHV1
I3LRC6 Q9CXL1
F1RLA7 Q69ZX8
J9JIL2 Q6P9S1
A0A286ZNG8 P62492
A0A286ZS52 Q8CCS6
F1SH27 Q60665
A0A286ZZ61 Q9Z2X8
A0A287BST7 Q80ZW2
F1S4K9 Q9ERS5
A0A287AZG6 Q8BX70
Q7M2W6 P23927
I3L5I1 Q5SUH6
F1SIX8 Q8BWY4
A0A286ZWP6 G3X9K4
A0A287B8H9 J3KMG9
F1SGX3 E5FYH1
I3LVJ1 Q8BW72
I3L6Q2 Q5HZH2
P79432 Q62311
A0A287ATW2 Q8VDF2
B7U6F1 Q99JF5
F1SUK6 E9Q2I3
A0A287AFJ7 P27782
F1RHJ1 P63163
I3LP69 Q99M51
I3L740 Q8VE98
A0A286ZMY6 Q3TDN2
A0A287A1V5 Q9WUA3
F1SBC5 Q9D0F1
F1RJ01 P30681
A0A287AXQ4 Q8VHN8
A0A287AZZ6 Q9QZS3
A0A287AJL9 Q91XU3
A0A287A991 Q8CAF4
B7U2G9 Q91VD1
A0A287AFJ7 Q9CQE6
F1SA99 P97358
I3LMT5 Q9JJN1
P23563 P06804
F1RM08 F6TVP2
F1SH27 Q3UNH6
A0A287AJQ1 Q6ZQ58
A0A286ZQL9 Q922L6
F1SH27 O70494
A0A287AFJ7 Q9ERI5
F1SIX8 Q9R1M5
F1SUT8 Q99JT2
F1SQT2 Q9QXJ1
F1RW85 A2ATK9
F1RMJ3 Q9WTQ5
I3LVJ1 P26687
F1SVB3 Q62313
F1RMN5 Q60634
A0A286ZS52 Q9EST5
F2Z5V5 Q8BH57
A0A287BSE8 O08811
I3LG10 Q8BWY4
F1SV20 Q62388
F1RWF7 A2A6M5
I3LBY1 Q9QYC7
A5GFY4 Q922L6
F1S4K9 A2A7S8
R4JU57 Q8K2F8
B7U6F4 P62492
F1RQY4 P61290
F1RNC9 Q61575
F1SQT2 Q06180
A0A287BBQ5 Q64127
A0A287B854 Q91YD9
F1SGX3 Q3UHQ6
A0A287B916 Q9JMG9
I3LPN4 Q8BZ36
A0A287A570 Q8R1J3
A0A287A608 P10107
A0A287BHQ4 B7ZDF5
A0A286ZUR0 E9QP49
A0A287A5I0 Q9ERD7
F1S106 Q9CYD3
A0A287AJ18 Q61069
F1RT51 Q9D850
F1SE73 Q60953
F1SU46 O08811
F1SAZ7 F6V5B0
A0A286ZXL7 Q6NZQ4
M3VH47 Q9DC28
I3LUD1 Q8BGE6
I3LLR6 Q8C7M3
A0A286ZWG1 P60670
A0A287AKG6 Q6GQT0
D0G6R6 Q8VDP6
F1SCF5 Q62311
F1SUE3 Q64127
B7U6F4 Q99JT2
B7U6F4 Q9D7X3
A0A287AVE0 P43021
F1SP32 P54728
A0A287BRD8 Q8CI32
F2Z562 P35550
A0A286ZLT0 Q3V1L4
F2Z4Y3 Q91VJ5
I3LBP0 E9Q4P1
F1SH27 P26687
A0A287BD82 Q5SUQ9
A0A287A991 E9QP49
F1SSC2 P10852
A0A287B916 O70494
A0A287ATW2 Q03173
A0A286ZJV6 P07356
F1S4Y2 Q60665
A0A287BMW8 F6RGI3
A0A286ZRM0 Q9DBY5
F1S6I1 Q3UFS0
A0A286ZJW1 Q3U487
F1RYU8 Q8CHP8
A0A287BMU9 Q8BJQ4
F1RM08 Q8R1N4
F1SCR9 E9Q411
A0ZVR0 P70434
A0A286ZIJ9 P47857
A0A287B5J4 Q3UYH7
I3LMT5 O88199
I3LF48 Q9R1M5
F1S6A4 Q60769
A0A287A1S6 P11087
A0A287B877 Q62227
F1S041 Q9Z2B5
A0A287AFJ7 P37242
I3LVJ1 J3KMG9
I3L897 A0A0B4J1E2
A0A287B8J8 P61290
A0A287A1V9 Q8VDP6
A1X898 Q60715
K7GRV6 P11247
F1S4K9 Q8CAF4
F1RM08 F8WJE0
A0A287BEW9 Q8R570
F1SU46 Q61187
A0A287AFJ7 J3KMG9
A0A287A9H2 G3X9K4
A0A287B7I6 Q3UFY8
I3LCX3 P32883
P22952 P50228
F1SF37 A2A7B5
F1SKH6 Q91XU3
K7GM45 P05480
F1RGM7 Q7TSS2
F1SJ31 Q9D850
F1S0P4 Q9QYI3
A0A287B5Q4 Q99P72
F1RLB6 O35492
I3LG10 O08688
A0A287B877 P27782
F1SL75 Q4FZG9
F1S7K1 O55047
K7GSM3 Q64729
A0A286ZNG8 Q99JT2
F1S1Z5 Q8CB14
F1S663 Q9Z248
A0A286ZTE3 E0CZD6
F1SAZ7 Q9R1M5
F2Z5J5 P26883
A0A287A8S7 Q8BQY8
A0A287AKR9 G3X9K4
P05027 P14094
B7U6F4 Q922Q2
F1S5N6 Q9QYC7
A0A287BSE8 Q3V1L4
I3LFC7 P35802
A0A286ZVC7 E9QNX9
A0A287B9Q1 Q8BQM4
A0A287B8J8 Q920Q2
Q27HK4 F7C846
F1SH27 P27782
I3LRW1 P55200
F1RIV2 H3BLQ9
B5LX40 Q8K3H0
A0A287BMW8 Q6A078
I3LQF8 Q5SF07
A0A287BBL7 Q9JMG9
A0A287AZJ5 Q62137
F1SQU5 Q64323
A0A287BP73 G3X959
F1S001 Q9WVS8
F1SG38 Q9JMH6
A0A287B8H9 Q9CQE6
A0A286ZYG8 Q6A078
A0A0R4J8D6 P97473
F1S493 Q9QYC1
A0A286ZTD8 Q64010
A0A287A9H2 A2AGH6
A0A287BSV9 P26687
F2Z556 Q8BTZ5
F1SV16 P16546
F1RLA7 Q9JKN5
A0A287BHL2 Q9R1M5
F1S064 Q62227
I3LCN0 Q03173
F1SU46 Q3V1L4
F1S064 Q9ERI5
A0A286ZI96 Q8BKX6
A0A286ZSD7 P60670
A0A286ZKK7 Q8VBW6
F1SEI1 J3KMG9
I3L6C0 Q9JI39
F1STR7 Q9ERI5
F1RIV2 H3BJM0
A0A287AJW8 Q8VEL0
A0A287AWA8 Q6GQT0
F1S0R5 Q61089
F1SFK5 Q8R5L3
A0A286ZVC7 D3Z3U5
F1SDV1 A3KFM7
F1RUM0 Q8BGM7
F1SIE6 O35492
P54612 Q76MZ3
F1RRR8 P01108
F1SPK0 Q69ZZ6
A0A286ZYS4 Q921J4
A0A287BK75 P31938
F1RG41 Q4QQM5
A0A287A3F5 Q09M02
A0A286ZJW1 Q64127
A0A287AKE2 Q62311
I3LF48 Q9Z2C5
F1RQL2 P35761
A0A287AH06 P06240
F1SUT8 P62492
A0A286ZWP6 Q99LH1
F1RU99 P20263
A0A287ATW2 A2AWA9
F1SC64 Q60848
F1S475 Q8CIH5
F2Z5C6 B2RUJ5
A0A287AGT7 Q9CPQ3
A0A286ZUR0 Q9ERS5
F1S0N7 A0A0R4J066
A0A287BHA0 B1AZ99
I3LEY2 Q07076
A0A287AZJ9 Q9CQ06
I3L5F7 Q3TLH4
A0A287ALL2 P70371
A0A287B5J4 E9Q411
F1RV77 P69566
A0A287A536 Q60795
F1SLE8 Q811W2
A0A286ZKK7 Q9CQ06
A0A287BD11 Q8BKX6
A0A286ZZS2 Q9WTQ5
A0A286ZNG8 P32883
Q19QT0 F8WJE0
A0A287BP73 P41969
F1S3V2 Q91X88
Q9GLN5 O70201
A0A287BF71 P60670
F1SFK0 Q5SF07
F1SBJ7 Q99MI6
I3L9E6 E9Q3C1
A0A286ZZW4 Q76I79
I3LCN0 Q8C8U0
F1S106 Q9QYC7
A0A287ACX2 Q61043
A0A287AAL7 Q61062
A0A287B8H9 Q9JMG9
A0A287B540 A2A6A1
A0A287AJQ1 Q6PHQ9
F1RRU8 Q9R123
A5A8V7 Q9JLN9
A0PFK5 Q9CQR6
A0A287BDK5 A1Y9I9
A5GFY4 Q8BZ36
B5APV0 Q9CPW4
A0A287B6S0 Q61982
A0A287AZJ9 Q8CFT3
F1RZW6 Q8JZS7
A0A287ATW2 Q9JMH6
Q767L9 A0A0R4J092
F1RU38 Q3UJB0
F1SF37 P27782
J9JIL2 Q8VHV1
A0A286ZMR3 Q9DA15
F1SFL1 Q9CQW2
F1RI50 P42128
F1SQR4 P62307
F1STG1 Q3U2C5
A0A287BAM9 Q6PAM1
A0A287AFE5 Q8BJ51
I3L5I1 Q91YK2
A0A287BL05 Q9CQV8
B6E241 Q60631
A0A287BIK4 Q8CHK4
F1RVT6 Q9CQ06
F1S7K1 Q9JMH6
F1RKS0 G3X959
Q8HZV3 Q9Z2U0
A0A287BHL2 Q8BWY4
Q2EHH8 P62137
A0A286ZZ23 Q9EQC5
I3LBT8 Q8CFT3
F1RIG2 Q9ES00
E5F1H9 O55013
A0A286ZS52 Q8K284
A7LKB1 Q923E4
A5A8V7 P16627
A0A287BNE4 P61082
F1SV57 P34960
D5KJI2 Q9QXJ1
A0A287AMJ5 Q9CYD3
F1STR7 P27782
B7U6F4 P32883
A0A287ACZ6 B2RUJ5
A0A287B621 Q03173
F1S064 P27782
A0A287BRD8 Q8CIH5
F1SCR9 Q3UYH7
A0A287B2F2 P70445
A0A286ZLA1 P70445
I3LFS1 Q8CFT3
A0A288CFV7 P05214
A0A287ADE6 E9Q616
F1SFK0 Q8BP71
F2Z5F2 P60824
F1S7P1 P59941
F1SIC1 Q8VBX6
A0A287BIC6 Q9ERS5
F1SSC2 O35382
F1SUE3 Q64701
I3LVJ1 O70494
I3LRL0 F8VQJ3
F1S774 P04184
A0A286ZKK7 P63163
Q29036 P61804
F1S064 Q9CQE6
F1RGY8 Q8R2E9
A8S2C3 Q9JHG0
A0A287AXP1 E9Q0B8
F1SIC1 Q99J79
C6JWG4 A2BFE8
F1S4Y2 Q9CQE6
A0A287ALL3 Q8BQY8
F1SP29 Q9D2K4
A0A287AKR9 A2AGH6
A0A287ANN0 Q8JZL7
A0A287A9F5 Q91W52
A0A286ZI78 Q6PDK0
I3LC09 Q9D880
F1RVT6 P63163
R4JU57 Q9JMH6
F2Z4Y0 Q5SF07
F1RRR7 Q8BUL6
F1SIS1 E9QM16
Q6KBX4 Q69ZZ6
A0A286ZKK7 Q62311
I3LBT8 Q8VBW6
F1SJR3 Q64343
A0A287A991 Q8K2J7
F1CK17 Q61187
P61288 P63028
I3L5I1 Q9EST5
F1RM41 P35584
I3LQF8 Q8BP71
A0A287AD86 Q920Q2
A0A287AM68 O55047
A0A287ASV1 Q9CZS3
I3L5M8 A2A432
F1RM41 Q61575
A0A286ZYD0 P42228
F1RSV8 Q3UJB0
A0A286ZU41 Q3ULA2
F1S064 P26687
I3LLR6 Q9CZB0
A0A286ZXF3 Q9EQC1
I3LVJ1 Q62227
A0A287AM68 Q8VDF2
I3LVJ1 P37242
A0A286ZMP7 P54728
I3LVJ1 Q9JMG9
A0A287AKE2 Q9CQ06
A0A287B493 Q9D2K4
F1SID1 P0CG50
A0A287AB40 Q8CAF4
A0A287BST7 A3KFM7
F1S4Y2 P26687
A0A287A2U9 Q9ERG0
A0A286ZI96 Q3UHC7
F1SB09 O08547
F1SRV0 G3UVW3
A0A287B1K1 D6RIL3
F1SR95 A2BGN7
F1S5P5 O70237
I3LCM7 Q80WQ8
A0A287B1K1 Q8BKN5
A0A287B5S7 Q8CJG0
F1S364 Q3U487
F1RH21 Q9CR30
A0A0R4J8D6 Q9CQ40
A0A287AQ63 Q810K9
A0A287A608 E9Q616
I3LMD0 Q58Y75
F1SEI1 O70494
F1STM9 Q3TE40
B7U2G9 Q8JZS7
I3L6G1 Q9EQT3
A0A287A6T8 Q8BHN9
Q19QT0 Q8R1N4
A0A287BA29 Q99L85
A0A287ATW2 Q8C8U0
M3VK38 B2RTJ2
F1SUK6 O08688
A0A286ZS52 Q5SUH6
A0A286ZV73 Q05769
D3U7X2 Q8BWG9
A0A287B854 Q9D7X3
F1SP25 Q64151
A0A286ZIV3 P27641
F1RX57 Q9JLN9
A0A287B916 Q8BW72
A0A287AA35 A0A1Y7VLV0
F1S001 Q8VBW6
F1RVT6 Q62311
A0A287A4T0 Q9WVS6
I3LCN0 Q8K2F8
D3K5N7 P70372
F1SVD7 P10300
F1RZW6 Q91VD1
F1STR7 Q62227
F1S4P0 A2AQ07
A0A287AJQ1 Q9CPN8
A0A287BBL7 J3KMG9
F1SCF5 Q8BH57
A0A286ZZS2 A0A1L1SSL9
A0A287AJL9 P26883
D9U8D1 P63168
A0A287AFX1 Q99ME2
A8S2B8 Q9R171
F1SGZ6 Q69ZX8
A0A288CFU2 Q8CJ61
F1SJB5 P10107
A0A287AX48 P97855
F1S103 Q91W10
F1RYU8 E9Q2I3
A0A287A2R9 P62259
P79288 Q8CEC4
A0A287A9K0 Q6ZQ88
O62640 A2CGA3
F1RGG1 F6TVP2
A0A287B0J6 G3X9X7
A0A287AM68 Q9JMH6
I3LCN0 A2AWA9
A0A287B854 P62492
A0A286ZLJ9 Q499D0
A0A286ZYB5 Q8VCG1
A0A286ZQA1 Q80V62
F1RVR8 A0A087WPY4
A0A287B559 Q9CQ40
F1RP05 P68254
A0A286ZX89 Q6NS82
F1S4Q6 A0A0R4J046
F1SH27 Q62227
A0A287BCR0 Q5SRY7
F1SHF6 Q69ZR2
A0A286ZYQ9 Q0VBF2
A0A287AZS2 Q8BKJ9
Q8HZV3 Q3U2G2
F1SPF3 P54823
F1S705 Q9R1A8
A0A287A4Z1 Q1HL35
I3LBT8 Q9WVS8
I3LCX3 Q9D7X3
F1SHB8 Q4ZJM9
F1S6G9 Q9Z265
F1SL15 D3Z3U5
F1RV26 Q8K441
A0A287BSV9 Q9CQE6
I3LVJ1 Q9CQE6
Q007T2 Q61043
A0A287BMU4 Q80ZW2
I3LVB3 E9PYF7
A0A286ZIJ9 Q60953
F1SSC2 O89112
F2Z4Y1 Q9Z108
F1RVT6 Q9D906
I3LPU5 Q3V1L4
F1RM08 Q9ESU7
F1SNJ6 Q64127
A0A287A7I4 Q9D8U6
D5KJI2 Q60634
A0A287B0M0 Q9DAY6
A0A286ZZS2 P62984
Q66X52 Q9D1L9
A0A287BIH8 O88597
Q767L9 B1AZA5
I3LG73 Q7TMK9
I3L5F7 Q9JMH6
A5D9M6 Q9Z1R2
F1RN84 Q5F2E8
F1SB79 Q8VHV1
F1SGZ6 A2A7H5
I3LFS1 Q62311
F1SB29 Q8VCR3
A0A287AX02 P60670
F1RSH8 Q64205
F1RPM9 Q0HA38
F1SU46 E9QNX9
F1SJD2 B2RUJ5
I3LRL0 P62340
A0A287BQ51 Q3UB74
A0A287ADE6 P10107
F1RGA9 P46414
A0A286ZVC0 Q8CAF4
A0A287BBY6 P28867
F1SEI1 Q9ERI5
A0A286ZYD0 D3Z6Q9
A0A287AUF7 Q9DAT2
A0A287ATR5 M9MMK0
F1RJH1 Q9CUS9
F1SEI1 Q62227
A0A287B854 P32883
Q8HZV3 Q9Z1Z2
A0A287AJQ1 Q9CR52
A0A287B916 A2A7B5
A0A287AAE5 Q8BHN9
A0A286ZJV6 E9QNX9
A0A287AG50 Q9CR78
P79432 Q8BH57
A0A287BF42 Q8CG64
F1SE73 Q3U2G2
F1SH27 Q9JMG9
F1RFZ6 Q8BP78
F1SU46 Q8C156
A0A286ZJG5 Q8BK63
F1SL15 Q3V1L4
I3LJB7 Q62158
F1RSV8 O54946
F1SIX8 E9Q2I3
F1S0Q0 Q9JHD2
A0A287B621 Q8K2F8
A0A286ZLT0 Q3UFY8
A0A286ZYQ9 Q9JJN1
I3LG10 Q8CHP8
A0A287B4M4 Q921E6
F1RHK6 Q3UFB7
A0A287AKE2 Q8VBW6
Q8HZV3 Q60953
A0A286ZKK7 Q8CFT3
I3L828 O88199
F1RV14 Q4VA93
A0A286ZUM8 Q01853
A0A287AZJ9 Q8VBW6
A0A287BBL7 Q9CQE6
F1STR7 P37242
F2Z503 Q3TT38
A0A287B621 Q8VDF2
F1SMZ8 G3UVW3
F1SPK3 Q6NWV3
A0A287BSW5 F8VQB2
F1SK87 Q91WI7
A0A287BNZ9 Q9QXJ1
F1S525 P08103
I3LG73 P16546
A0A287A6T8 Q8BHB7
A0A287BE06 P29452
F1SPF3 P97310
A0A286ZVH7 P25118
F1SAZ7 Q9Z2C5
F1SNJ6 Q64701
F1SSJ0 Q8BNE1
A0A287BHL2 E9Q2I3
A0A287AM68 Q8C8U0
A0A287AWH2 Q9JLN9
I3LK68 Q60953
F1SF93 Q8VDG5
F1S001 Q9CQ06
F1RHE3 Q8CD26
F1S8V5 Q3TLH4
I3LB93 Q61982
F1SUK6 F6V5B0
I3LPU5 O08811
F1S7K1 Q3TLH4
A0A287B621 Q3TLH4
F1SLE8 G3UVW3
Q9GLN5 Q61043
F1SID1 Q61545
A0A287AXP9 Q8K297
A0A286ZI26 Q9D3P8
A0A286ZTE3 E9QJU6
F1SF37 Q8BW72
F1SKR9 P26450
F1S4K9 Q8K2J7
F1SHF6 Q62415
F1S5Q2 Q9D300
F1S4Y2 Q8BW72
F1RRI6 Q8K2J7
A0A286ZVC7 O08811
H2F098 Q60754
F1SG38 Q8VDF2
F1RQY4 A2AWT5
A0A287ATD3 P84089
A7XUJ6 P70196
A0A286ZS33 P48754
A0A287BI89 P63163
A0A287AKE2 Q9D906
F1S0N2 Q7TMK9
A0A286ZWP6 A2AGH6
I3LPU5 Q8C156
A0A287AZA7 P62983
I3L9V1 Q61214
A0A286ZZ61 P48025
F1SNP9 B5B2N2
A0A287AZA7 P62889
I3LUD1 Q8BJ64
F1SIX8 Q64347
A0A287B877 Q9CQE6
I3LC77 A2ATK9
A0A287ACE1 Q3UIL6
F1RYU8 O35385
A0A286ZNK2 Q99J56
F1SN51 Q69ZX8
A0A287BIC6 E9QP49
A0A287BI89 Q9WVS8
A0A287APV1 P62983
F1SDM2 D2J0Y4
A0A287AYQ4 Q8CIV7
F1S224 Q62074
A0A286ZID2 P04184
F1SLK9 Q64701
A0A287ACB5 Q9D6V8
A0A287BBQ5 Q64701
F1SF37 P26687
A0A286ZYD0 Q8C2K1
A0A287BDL6 P28033
I3LPI5 P61804
F1RQY4 Q9R1K5
F1SG38 Q8C8U0
F1SG38 O55047
A0A287A991 Q9ERS5
F1S033 Q8K2F0
F1RGA9 Q7TPH6
F1S064 O70494
F1SCF5 Q9CQ06
A0A286ZWP6 O54946
F1SAZ7 E9Q2I3
I3L5F7 Q8VDF2
A0A287B2G8 Q9DB75
F1RT51 A2BGN7
F1SJR3 P59054
F1SH89 Q8BJ64
R4JU57 Q3TLH4
I3LVB3 Q64343
I3LFS1 Q9CQ06
F1SIX8 Q8CHP8
A0A287AEZ1 Q9ERK0
P67776 P0CG50
F1SF37 Q60665
I3LNU5 P31313
F1S001 Q9D906
A0A286ZRE9 Q8BZ89
I3L5F7 Q8K2F8
K7GQA4 G3X959
F1RHJ1 Q9D906
F1SEI1 P26687
A0A287B854 Q922Q2
F1SL15 Q8C156
A0A287BHL2 O35385
I3LBT8 Q9CQ06
F1SEI1 Q9JMG9
A0A287B621 Q9JMH6
A0A287AYU3 P01139
I3LG77 F6TVP2
F1SEI1 P37242
F1S073 P07356
A0A287AZJ9 Q62311
F1SUT8 Q6P9R2
Q06AT9 F6U5V1
A0A287BSV9 Q9ERI5
I3LG10 Q9R1M5
A0A286ZVC7 Q8C156
M3VK17 Q8VE98
F1RG16 Q9CQV8
I3L5F7 O55047
A0A286ZX77 Q9CQJ4
P67937 Q6IRU2
A0A287AMJ5 Q9QYC7
A0A287AIR5 A0A0R4J0T0
I3LQB2 Q9CR23
I3LNZ6 Q9JI39
F1SS22 Q6NVG5
F1RKS0 P41969
F1SIS1 D6RIL3
F1RMN5 Q9QXJ1
I3LHU4 O88992
Q865K8 Q80ZE4
F1RPK6 Q9WTV7
F1SKG2 A0A1L1SSL9
A0A286ZYD0 Q9EPB5
A0A287BQ51 Q9DCX8
A0A286ZV73 P62340
A0A287BS39 E9PVA8
F1SG38 Q03173
F1SBP6 O70283
F1STR7 Q60665
I3L6Z7 Q61526
A0A287AJL4 Q99K46
I3LMD0 B1AZ99
I3L9C8 O55222
A0A287B8J8 P97929
C0JPM4 Q6PI17
F1SUT8 Q91YD9
A0A287ALK7 B7ZBV9
A5GFY4 Q99P69
F1SGS5 P25801
Q29549 Q06890
A0A287AVQ6 Q32NY8
F2Z5F2 Q99JZ4
P67776 Q61545
F1S493 Q8VHV1
I3LFS1 Q9D906
A0A287AWA8 S4R1Y1
A7WLH8 P63166
F1SH27 Q9ERI5
A0A287AFJ7 O70494
A0A287B854 Q99JT2
F1RJU1 Q80UN1
F1RJL2 Q8BH57
F1SG38 Q3TLH4
A0A287ARU6 Q9EST5
F1RSW8 P24161
I3L5T3 P35550
K9IVV5 P16546
A0A287BL45 Q4KWH5
A0A287BR15 Q8BFW9
A0A287B9N1 P35456
A0A287B559 P97473
A0A287AA61 Q6P5D4
A0A287BIC6 Q8CAF4
A0A287ADN5 E9Q6A7
A0A287AM68 A2AWA9
F1RTM6 P19091
A0A287BBL7 Q8BW72
A0A287B7K4 Q8CEC4
Q767L0 P16546
F1SID1 P09103
I3LQ78 A2A7B5
B7U6F4 Q91YD9
A0A286ZLT0 D3Z3U5
E5Q8C6 A2APM2
F1RHU6 P0CG50
A0A287AAX2 Q9CR78
F1RJH1 Q8BHI7
F1S001 Q8CFT3
A0A287A531 P16546
F1RU38 O54946
I3L5F7 A2AWA9
Q6QAT1 P05214
I3LP69 Q61526
A0A287BEQ8 F8VQ87
A0A287B877 J3KMG9
F1RYU8 Q9Z2C5
F1RYA1 P47811
A0A286ZUR0 A2A7S8
A0A287A570 P00687
A0A287ATW2 Q3TLH4
A0A287AA35 A0A0R4J0G9
F1S034 P63163
A0A287ACB5 Q3TT38
I3LVJ1 Q60665
I3LVB3 P59054
A0A286ZSI3 A2APM2
I3LDS3 A0A1B0GSR7
A0A287B2F2 Q07235
F1STR7 P26687
A0A286ZYY2 Q9CQV8
A0A287AXP1 Q8VDD5
F1RX38 Q61982
A0A286ZPK2 Q9ERE9
F1RMJ3 P29452
F1RP05 Q8VEE4
I3L5I1 Q8CCS6
A0A287BLM6 Q63844
F1RJ11 Q8BHT6
F1RF31 Q8BVR6
A0A286ZZS2 O88700
I3LHU4 P21129
F1RY92 P84104
F1SAJ5 P54823
A0A287AZP6 Q9JIM3
F1RP49 Q80UW0
A0A287BHA0 Q58Y75
F1SKH6 P26883
F1RNA6 Q60634
F1SKG2 Q9WTQ5
A0A287B7I6 O08811
F1SSC2 Q5SNZ0
I3LB10 Q9CYD3
A0A287A536 Q8VHG2
F1SG38 A2AWA9
A0A286ZNG8 Q91YD9
F1RGG1 Q8R1N4
I3LQ78 J3KMG9
A0A287B916 P26687
A0A286ZW78 Q3U213
A0A286ZS52 Q8BFZ9
R4JU57 Q03173
F1SD58 A2TJV2
A0A287AIW3 Q8R1Q8
A0A287AFJ7 Q60665
F1RJ53 Q61097
A0A287AXD7 Q9D7I0
F1SEI1 Q60665
Q19ML6 Q64729
I3LG10 F6V5B0
F1SJK5 Q8R3P6
B7U6F4 Q6P9R2
F1RN44 P11438
F1RP05 Q9ERD7
A0A287A2J9 Q9JLV5
I3L6Z7 Q99M51
A0A287BSE8 Q3UFY8
A0A287A9K0 P13405
K9IVE3 Q61187
A0A287B1K1 Q8BQM8
I3LA60 Q6TYB5
F1SIE6 Q9DB05
Q19S50 P42227
A0A287B877 Q60665
A0A287BM02 Q8CFE2
F1S0N2 P16546
Q06AU6 Q9CQD1
F1RX94 Q03160
A0A287AM68 Q8K2F8
F1SEV8 Q01705
A0A287B8F0 D3YYU8
I3LFS1 P63163
F1S0Q0 P10417
